,persistencia,sazonal_naive_288,media_movel_288,arima_212_h,prophet
2024-04-19,0.030520833333333226,0.026215277777777685,0.027651427469135743,0.030520833333333226,0.05920748378571853
2024-04-20,0.014583333333333278,0.06225694444444437,0.06204861111111147,0.014583333333333278,0.14508267412144998
2024-04-21,0.025972222222222115,0.022569444444444458,0.02173466435185202,0.025972222222222115,0.13784673269414557
2024-04-22,0.019374999999999958,0.023749999999999973,0.02579861111111106,0.019374999999999958,0.15537201602826
2024-04-23,0.049131944444444124,0.032743055555555574,0.03415798611110977,0.049131944444444124,0.13013605618805754
2024-04-24,0.033298611111110814,0.024027777777777717,0.028625578703703438,0.033298611111110814,0.1335422571146086
2024-04-25,0.050902777777777936,0.025520833333333305,0.019595389660494303,0.050902777777777936,0.14218695389656008
2024-04-26,0.03486111111111128,0.026319444444444486,0.024614679783951085,0.03486111111111128,0.14324432275012355
2024-04-27,0.014756944444444368,0.017951388888888864,0.015052083333333247,0.014756944444444368,0.16799815962301384
2024-04-28,0.05805555555555549,0.020659722222222177,0.019521122685185043,0.05805555555555549,0.16329694041793852
2024-07-20,0.04100694444444456,0.022395833333333344,0.02395061728395061,0.04100694444444456,0.04463476082957717
2024-07-21,0.027361111111111096,0.03920138888888896,0.04027054398148169,0.027361111111111096,0.09492313101169857
2024-07-22,0.05263888888888885,0.07333333333333332,0.052889660493827095,0.05263888888888885,0.11272647337677658
2024-07-23,0.05347222222222234,0.09506944444444433,0.07395833333333364,0.05347222222222234,0.059909612907219266
2024-07-24,0.033055555555555505,0.018124999999999995,0.03307291666666661,0.033055555555555505,0.08234221251180261
2024-07-25,0.024826388888888825,0.02128472222222215,0.02710262345678991,0.024826388888888825,0.10324018335483803
2024-07-26,0.03343749999999986,0.03381944444444442,0.03786892361111072,0.03343749999999986,0.11101224610469076
2024-07-27,0.035381944444444424,0.030277777777777785,0.037369550540123586,0.035381944444444424,0.12286272131832361
2024-07-28,0.045277777777777715,0.036770833333333336,0.01528260030864189,0.045277777777777715,0.1421678626761982
2024-07-29,0.020034722222222218,0.022256944444444468,0.02187114197530858,0.020034722222222218,0.1390814510177176
2024-09-15,0.1377569444444441,0.08629249338624335,0.060528814621913604,0.1377569444444441,0.17338732203600335
2024-09-16,0.05743716931216937,0.057540674603174566,0.04575865299823677,0.05743716931216937,0.24120403903345178
2024-09-17,0.0747858796296298,0.07373875661375662,0.0692283950617284,0.0747858796296298,0.230219921978321
2024-09-18,0.08754629629629612,0.0686898148148148,0.07550723379629645,0.08754629629629612,0.20610533448990725
2024-09-19,0.10057407407407395,0.06934176587301583,0.07785011574074095,0.10057407407407395,0.2580921883509306
2024-09-20,0.15504629629629652,0.061371106902356906,0.07468547599840991,0.15504629629629652,0.31621411416772044
2024-09-21,0.16958217592592603,0.06445434002725668,0.08103006044238699,0.16958217592592603,0.35158596535145004
2024-09-22,0.11512500000000002,0.09269626322751323,0.08834635416666664,0.11512500000000002,0.3624499096501951
2024-09-23,0.2074270833333335,0.06465360488277153,0.09305290316358018,0.2074270833333335,0.40883735140974437
2024-09-24,0.08856481481481476,0.05303413600288603,0.07757335413910933,0.08856481481481476,0.454902703010273
2024-11-20,0.06796874999999991,0.0156388888888889,0.038732638888888865,0.06796874999999991,0.14909488994101217
2024-11-21,0.06913194444444394,0.02071296296296297,0.04141927083333335,0.06913194444444394,0.1515653324619365
2024-11-22,0.0534895833333332,0.01915162037037034,0.03843050733024688,0.0534895833333332,0.1743477526100246
2024-11-23,0.07138888888888885,0.02711689814814809,0.04786566840277769,0.07138888888888885,0.20367386299966445
2024-11-24,0.07807291666666677,0.023946759259259237,0.049323881172839465,0.07807291666666677,0.22812825064466877
