,MAE,RMSE,MAPE,sMAPE
persistencia,0.074,0.104,1.2896,1.2913
sazonal_naive_288,0.0627,0.0937,1.0927,1.096
media_movel_288,0.0668,0.0965,1.1616,1.1651
