,fatia,persistencia,sazonal_naive_288,media_movel_288,lstnet_s42,lstnet_s7,lstnet_s123,lstnet_s2024,lstnet_s999,lstnet_media,lstnet_dp
2024-04-19,2024-04-19→2024-04-28,0.030520833333333226,0.026215277777777685,0.027651427469135743,0.022292673322889478,0.021780079073376066,0.022686367962095427,0.02193209972646494,0.021683073242505315,0.022074858665466247,0.00041296421911426594
2024-04-20,2024-04-19→2024-04-28,0.014583333333333278,0.06225694444444437,0.06204861111111147,0.040586149096488895,0.04067315909597603,0.04101963473690874,0.04102448112434804,0.04039190252621963,0.04073906531598827,0.0002776825463724434
2024-04-21,2024-04-19→2024-04-28,0.025972222222222115,0.022569444444444458,0.02173466435185202,0.017787289155854143,0.017038641638225997,0.019845508601930427,0.01951976444986133,0.019125313361485815,0.018663303441471542,0.0011991157856969124
2024-04-22,2024-04-19→2024-04-28,0.019374999999999958,0.023749999999999973,0.02579861111111106,0.020867783625920566,0.02156765467590753,0.019942905505498192,0.020596943696339878,0.020375682579146466,0.020670194016562525,0.0006052950650934637
2024-04-23,2024-04-19→2024-04-28,0.049131944444444124,0.032743055555555574,0.03415798611110977,0.021282999515533467,0.01969421532418995,0.02421711299154496,0.02304046518272825,0.022721532053417665,0.022191265013482855,0.0017440317841763229
2024-04-24,2024-04-19→2024-04-28,0.033298611111110814,0.024027777777777717,0.028625578703703438,0.021900198393397793,0.020546462999449767,0.02274896098507769,0.021920055084758278,0.021358134680324076,0.02169476242860152,0.0008118197356751943
2024-04-25,2024-04-19→2024-04-28,0.050902777777777936,0.025520833333333305,0.019595389660494303,0.02544355365965094,0.02567503372828159,0.026120154526498504,0.025032913287480623,0.024741868509186596,0.025402704742219652,0.0005394479007638112
2024-04-26,2024-04-19→2024-04-28,0.03486111111111128,0.026319444444444486,0.024614679783951085,0.017682869699266177,0.018333654138776946,0.016534355746375132,0.01693995926115241,0.01788755867216317,0.017475679503546768,0.0007283164311217235
2024-04-27,2024-04-19→2024-04-28,0.014756944444444368,0.017951388888888864,0.015052083333333247,0.014698578251732687,0.014404281510247089,0.014863208532333352,0.015029888417985672,0.014417322675387026,0.014682655877537166,0.00027446184471966877
2024-04-28,2024-04-19→2024-04-28,0.05805555555555549,0.020659722222222177,0.019521122685185043,0.025790997412469586,0.027466036544905693,0.023505819506115303,0.025401359399159676,0.026287708150015868,0.025690384202533223,0.001447041672432365
2024-07-20,2024-07-20→2024-07-29,0.04100694444444456,0.022395833333333344,0.02395061728395061,0.019395559231440238,0.021065429780218345,0.020691193474663645,0.019895127614339217,0.02044989201757644,0.020299440423647574,0.0006601734406337495
2024-07-21,2024-07-20→2024-07-29,0.027361111111111096,0.03920138888888896,0.04027054398148169,0.023296150763829595,0.023269134494993477,0.02396943125459887,0.0241932246420119,0.022769421007898163,0.023499472432666403,0.0005765248849009144
2024-07-22,2024-07-20→2024-07-29,0.05263888888888885,0.07333333333333332,0.052889660493827095,0.06351182699203489,0.06398301872942182,0.06427117817931703,0.06400453468163808,0.064370089703136,0.06402812965710956,0.0003336050875860534
2024-07-23,2024-07-20→2024-07-29,0.05347222222222234,0.09506944444444433,0.07395833333333364,0.04296807408332817,0.04761525756782947,0.04874567879570847,0.04684506389829839,0.04701197399033433,0.04663720966709977,0.002182225204574065
2024-07-24,2024-07-20→2024-07-29,0.033055555555555505,0.018124999999999995,0.03307291666666661,0.02459186030758753,0.02586497551865049,0.02582439488834807,0.024922196269035378,0.02598382141855031,0.025437449680434356,0.000634731139521179
2024-07-25,2024-07-20→2024-07-29,0.024826388888888825,0.02128472222222215,0.02710262345678991,0.017096692654821576,0.016699650883674602,0.018179339965184525,0.017195711334546396,0.01702664077281951,0.017239607122209323,0.0005573052589996162
2024-07-26,2024-07-20→2024-07-29,0.03343749999999986,0.03381944444444442,0.03786892361111072,0.014682534204588954,0.015163082811567447,0.015381023089090916,0.01551918506622312,0.014699026611116122,0.015088970356517312,0.00038507097437237456
2024-07-27,2024-07-20→2024-07-29,0.035381944444444424,0.030277777777777785,0.037369550540123586,0.020848347279760496,0.02330759392844302,0.021415543291303782,0.020971645911534574,0.022040980656941676,0.02171682221359671,0.0010044823002449694
2024-07-28,2024-07-20→2024-07-29,0.045277777777777715,0.036770833333333336,0.01528260030864189,0.030794875091976523,0.02970808360311714,0.028361836804283922,0.02829884727795911,0.03070202820830867,0.02957313419712907,0.0012120553175368567
2024-07-29,2024-07-20→2024-07-29,0.020034722222222218,0.022256944444444468,0.02187114197530858,0.014424430065684819,0.01591469605763751,0.016646675997310182,0.014411717851956654,0.013811988366974722,0.015041901667912777,0.0011861871947866389
2024-09-15,2024-09-15→2024-09-24,0.1377569444444441,0.08629249338624335,0.060528814621913604,0.07617071477572118,0.0732087145911322,0.07943051199118292,0.08177942969180914,0.08053707577564091,0.07822528936509728,0.003493427065735563
2024-09-16,2024-09-15→2024-09-24,0.05743716931216937,0.057540674603174566,0.04575865299823677,0.04566629723644759,0.042963577576415245,0.039351838021682045,0.041857383289034406,0.04021963567267017,0.04201174635924989,0.002478524047425175
2024-09-17,2024-09-15→2024-09-24,0.0747858796296298,0.07373875661375662,0.0692283950617284,0.06975240072119177,0.06861960116202237,0.06686489631259251,0.06604492902125,0.06501984743844896,0.06726033493110112,0.0019177697998001958
2024-09-18,2024-09-15→2024-09-24,0.08754629629629612,0.0686898148148148,0.07550723379629645,0.06666962902192713,0.06614832374784678,0.06836924674334348,0.06899109740168957,0.06688751712110304,0.067413162807182,0.001207573786633622
2024-09-19,2024-09-15→2024-09-24,0.10057407407407395,0.06934176587301583,0.07785011574074095,0.0781492668257819,0.08014426088774645,0.08460601227813296,0.07869354665279386,0.07723806974622936,0.07976623127813691,0.0029035845773245734
2024-09-20,2024-09-15→2024-09-24,0.15504629629629652,0.061371106902356906,0.07468547599840991,0.0658953792430736,0.06249932774108665,0.06986683800926913,0.06831212467617456,0.06690174129715669,0.06669508219335213,0.0027821506772922502
2024-09-21,2024-09-15→2024-09-24,0.16958217592592603,0.06445434002725668,0.08103006044238699,0.059660276242034134,0.05595451352772889,0.06242936365818852,0.05927998387750496,0.059758424309195673,0.05941651232293044,0.0023053022305850857
