H,data,variavel,piso_MAE,ci_MAE_s42,ci_MAE_s7,ci_MAE_s123,ci_MAE_media,ci_MAE_dp
288,2024-09-20,od,0.1759,0.0978,0.0867,0.144,0.1095,0.0303
288,2024-09-21,ph,0.0645,0.0862,0.0566,0.0801,0.0743,0.0156
288,2024-09-21,od,0.261,0.3096,0.2141,0.2821,0.2686,0.0491
288,2024-09-22,ph,0.0927,0.0848,0.0867,0.0821,0.0845,0.0023
288,2024-09-22,od,0.2546,0.2313,0.3031,0.2261,0.2535,0.043
288,2024-09-23,ph,0.0647,0.0885,0.0567,0.0819,0.0757,0.0168
288,2024-09-23,od,0.1393,0.3232,0.2094,0.2945,0.2757,0.0592
288,2024-09-24,ph,0.053,0.0499,0.0345,0.0362,0.0402,0.0085
288,2024-09-24,od,0.0699,0.1071,0.0896,0.071,0.0892,0.018
288,2024-11-20,ph,0.0156,0.0162,0.0167,0.0159,0.0163,0.0004
288,2024-11-20,od,0.0985,0.0878,0.271,0.1115,0.1568,0.0996
288,2024-12-13,ph,0.0275,0.018,0.0155,0.0187,0.0174,0.0017
288,2024-12-13,od,0.112,0.0555,0.1141,0.1054,0.0917,0.0316
288,2024-12-14,ph,0.0193,0.0114,0.0123,0.0184,0.014,0.0038
288,2024-12-14,od,0.102,0.0593,0.0621,0.1185,0.08,0.0334
288,2024-12-15,ph,0.0425,0.0723,0.0706,0.0534,0.0654,0.0105
288,2024-12-15,od,0.1886,0.2725,0.3731,0.184,0.2765,0.0946
288,2024-12-16,ph,0.0311,0.0344,0.0178,0.0277,0.0266,0.0084
288,2024-12-16,od,0.2807,0.1242,0.1809,0.1043,0.1364,0.0398
288,2024-12-17,ph,0.0249,0.0454,0.0483,0.0414,0.045,0.0035
288,2024-12-17,od,0.0746,0.2194,0.2982,0.1599,0.2258,0.0694
288,2024-12-18,ph,0.0192,0.0343,0.0295,0.0235,0.0291,0.0054
288,2024-12-18,od,0.1753,0.2633,0.3092,0.1912,0.2545,0.0595
288,2024-12-19,ph,0.0242,0.0172,0.0208,0.0162,0.0181,0.0024
288,2024-12-19,od,0.0671,0.2211,0.3141,0.1437,0.2263,0.0853
288,2024-12-20,ph,0.0343,0.0314,0.0302,0.0298,0.0305,0.0008
288,2024-12-20,od,0.1935,0.1206,0.1156,0.1503,0.1289,0.0188
288,2024-12-21,ph,0.0768,0.0466,0.038,0.0411,0.0419,0.0044
288,2024-12-21,od,0.8099,0.4228,0.3474,0.414,0.3948,0.0412
288,2024-12-22,ph,0.0811,0.0283,0.0304,0.0285,0.029,0.0012
288,2024-12-22,od,0.5506,0.1496,0.1731,0.1223,0.1483,0.0254
