H,data,variavel,piso_MAE,ci_MAE_s42,ci_MAE_s7,ci_MAE_s123,ci_MAE_media,ci_MAE_dp
12,2024-07-23,ph,0.0525,0.0105,0.0099,0.0099,0.0101,0.0003
12,2024-07-23,od,0.4,0.0167,0.0239,0.0139,0.0182,0.0051
12,2024-07-24,ph,0.03,0.0098,0.0087,0.0087,0.0091,0.0006
12,2024-07-24,od,0.1958,0.0307,0.0433,0.0353,0.0364,0.0064
12,2024-07-25,ph,0.0525,0.0066,0.0082,0.005,0.0066,0.0016
12,2024-07-25,od,0.3367,0.0319,0.0282,0.0247,0.0282,0.0036
12,2024-07-26,ph,0.0083,0.0216,0.0226,0.0219,0.022,0.0005
12,2024-07-26,od,0.2517,0.062,0.0629,0.0522,0.059,0.0059
12,2024-07-27,ph,0.0533,0.0099,0.0108,0.0107,0.0105,0.0005
12,2024-07-27,od,0.3733,0.0228,0.0175,0.0196,0.0199,0.0027
12,2024-07-28,ph,0.0333,0.0074,0.008,0.0077,0.0077,0.0003
12,2024-07-28,od,0.06,0.0092,0.0081,0.0061,0.0078,0.0016
12,2024-07-29,ph,0.0258,0.0093,0.0084,0.0098,0.0092,0.0007
12,2024-07-29,od,0.1508,0.0518,0.0615,0.0534,0.0556,0.0052
12,2024-09-15,ph,0.0886,0.0397,0.0361,0.0402,0.0387,0.0022
12,2024-09-15,od,0.3583,0.1035,0.0673,0.0736,0.0814,0.0193
12,2024-09-16,ph,0.0449,0.0279,0.0328,0.0283,0.0297,0.0027
12,2024-09-16,od,0.1883,0.0719,0.0397,0.0479,0.0532,0.0167
12,2024-09-17,ph,0.2013,0.0618,0.0637,0.0641,0.0632,0.0012
12,2024-09-17,od,0.7975,0.0132,0.047,0.008,0.0227,0.0212
12,2024-09-18,ph,0.0849,0.0622,0.0643,0.0648,0.0638,0.0014
12,2024-09-18,od,0.1867,0.0311,0.0087,0.0321,0.024,0.0132
12,2024-09-19,ph,0.0818,0.03,0.0308,0.0313,0.0307,0.0006
12,2024-09-19,od,0.1133,0.0099,0.0504,0.0229,0.0278,0.0206
12,2024-09-20,ph,0.0693,0.0384,0.0463,0.0465,0.0437,0.0046
12,2024-09-20,od,0.1742,0.0289,0.007,0.0172,0.0177,0.011
12,2024-09-21,ph,0.0604,0.0683,0.064,0.0663,0.0662,0.0022
12,2024-09-21,od,0.2533,0.0309,0.019,0.0125,0.0208,0.0094
12,2024-09-22,ph,0.0734,0.0647,0.0721,0.0683,0.0684,0.0037
12,2024-09-22,od,0.2325,0.0133,0.0233,0.0202,0.0189,0.0051
12,2024-09-23,ph,0.0942,0.0582,0.0607,0.0558,0.0583,0.0024
12,2024-09-23,od,0.0192,0.0324,0.0091,0.0127,0.0181,0.0125
