,MAE,RMSE,MAPE,sMAPE
persistencia,0.4429,0.6403,8.5791,8.4521
sazonal_naive_288,0.2424,0.3741,5.1843,5.0783
media_movel_288,0.4003,0.5222,7.9571,7.8032
lstnet,0.1777,0.2759,3.8001,3.7123
