,MAE,RMSE,MAPE,sMAPE
persistencia,0.0727,0.0942,1.1683,1.1657
sazonal_naive_288,0.0501,0.0648,0.8079,0.8051
media_movel_288,0.0631,0.0768,1.0159,1.0133
lstm_h,0.112,0.1255,1.8126,1.7943
