,persistencia,sazonal_naive_288,media_movel_288,arima_212_h,prophet
2024-04-19,0.030520833333333226,0.026215277777777685,0.027651427469135743,0.030520833333333226,0.03103654903039481
2024-04-20,0.014583333333333278,0.06225694444444437,0.06204861111111147,0.014583333333333278,0.10853705292830375
2024-04-21,0.025972222222222115,0.022569444444444458,0.02173466435185202,0.025972222222222115,0.0986336780319142
2024-04-22,0.019374999999999958,0.023749999999999973,0.02579861111111106,0.019374999999999958,0.11635890654363548
2024-04-23,0.049131944444444124,0.032743055555555574,0.03415798611110977,0.049131944444444124,0.09105733278075215
2024-04-24,0.033298611111110814,0.024027777777777717,0.028625578703703438,0.033298611111110814,0.09712269508027827
2024-04-25,0.050902777777777936,0.025520833333333305,0.019595389660494303,0.050902777777777936,0.1037306114350764
2024-04-26,0.03486111111111128,0.026319444444444486,0.024614679783951085,0.03486111111111128,0.10034986625904607
2024-04-27,0.014756944444444368,0.017951388888888864,0.015052083333333247,0.014756944444444368,0.12179207423973049
2024-04-28,0.05805555555555549,0.020659722222222177,0.019521122685185043,0.05805555555555549,0.1144234215655704
2024-07-20,0.04100694444444456,0.022395833333333344,0.02395061728395061,0.04100694444444456,0.11242900066452302
2024-07-21,0.027361111111111096,0.03920138888888896,0.04027054398148169,0.027361111111111096,0.15307844644624596
2024-07-22,0.05263888888888885,0.07333333333333332,0.052889660493827095,0.05263888888888885,0.15141778881795814
2024-07-23,0.05347222222222234,0.09506944444444433,0.07395833333333364,0.05347222222222234,0.07897732515957051
2024-07-24,0.033055555555555505,0.018124999999999995,0.03307291666666661,0.033055555555555505,0.0971842588622813
2024-07-25,0.024826388888888825,0.02128472222222215,0.02710262345678991,0.024826388888888825,0.10069916256185917
2024-07-26,0.03343749999999986,0.03381944444444442,0.03786892361111072,0.03343749999999986,0.08866984917504955
2024-07-27,0.035381944444444424,0.030277777777777785,0.037369550540123586,0.035381944444444424,0.08184543338940821
2024-07-28,0.045277777777777715,0.036770833333333336,0.01528260030864189,0.045277777777777715,0.08311987917112942
2024-07-29,0.020034722222222218,0.022256944444444468,0.02187114197530858,0.020034722222222218,0.06487015058318693
2024-09-15,0.1377569444444441,0.08629249338624335,0.060528814621913604,0.1377569444444441,0.157969440194438
2024-09-16,0.05743716931216937,0.057540674603174566,0.04575865299823677,0.05743716931216937,0.22902006987202406
2024-09-17,0.0747858796296298,0.07373875661375662,0.0692283950617284,0.0747858796296298,0.22381327158102934
2024-09-18,0.08754629629629612,0.0686898148148148,0.07550723379629645,0.08754629629629612,0.20257261993849193
2024-09-19,0.10057407407407395,0.06934176587301583,0.07785011574074095,0.10057407407407395,0.26212305070381103
2024-09-20,0.15504629629629652,0.061371106902356906,0.07468547599840991,0.15504629629629652,0.330241084962663
2024-09-21,0.16958217592592603,0.06445434002725668,0.08103006044238699,0.16958217592592603,0.374506963276078
2024-09-22,0.11512500000000002,0.09269626322751323,0.08834635416666664,0.11512500000000002,0.3936207392813873
2024-09-23,0.2074270833333335,0.06465360488277153,0.09305290316358018,0.2074270833333335,0.4453906341008094
2024-09-24,0.08856481481481476,0.05303413600288603,0.07757335413910933,0.08856481481481476,0.4971039978614981
2024-11-20,0.06796874999999991,0.0156388888888889,0.038732638888888865,0.06796874999999991,0.23337013506902635
2024-11-21,0.06913194444444394,0.02071296296296297,0.04141927083333335,0.06913194444444394,0.23070958984915377
2024-11-22,0.0534895833333332,0.01915162037037034,0.03843050733024688,0.0534895833333332,0.24595968865400394
2024-11-23,0.07138888888888885,0.02711689814814809,0.04786566840277769,0.07138888888888885,0.2688799628377945
2024-11-24,0.07807291666666677,0.023946759259259237,0.049323881172839465,0.07807291666666677,0.28757270970006993
2024-12-13,0.09239583333333323,0.02753472222222222,0.06314429012345672,0.09239583333333323,0.042889608714339875
2024-12-14,0.10295138888888929,0.01930555555555566,0.04542341820987656,0.10295138888888929,0.025998845159307497
2024-12-15,0.053402777777777743,0.042534722222222265,0.04908444251543224,0.053402777777777743,0.0303343893890501
2024-12-16,0.0936805555555553,0.0311111111111112,0.05004822530864201,0.0936805555555553,0.03741009624492592
2024-12-17,0.07960069444444423,0.024913194444444463,0.05013551311728399,0.07960069444444423,0.043341674673176483
2024-12-18,0.07873263888888918,0.019201388888888917,0.05337348090277783,0.07873263888888918,0.06688288351760303
2024-12-19,0.11052083333333329,0.02418402777777781,0.05764178240740741,0.11052083333333329,0.062119889303382886
2024-12-20,0.09881944444444445,0.03427083333333338,0.07020447530864203,0.09881944444444445,0.0619829276165699
2024-12-21,0.11381944444444464,0.07680555555555554,0.07318865740740778,0.11381944444444464,0.030917940612861114
2024-12-22,0.05986111111111086,0.08111111111111104,0.07813271604938207,0.05986111111111086,0.08335177046324921
