,fatia,persistencia,sazonal_naive_288,media_movel_288,patchtst_s42,patchtst_s7,patchtst_s123,patchtst_s2024,patchtst_s999,patchtst_media,patchtst_dp,dlinear_s42,dlinear_s7,dlinear_s123,dlinear_s2024,dlinear_s999,dlinear_media,dlinear_dp
2024-04-19,2024-04-19→2024-04-28,0.24166666666666675,0.3019097222222222,0.31163821373456807,0.23166991349723606,0.25861109534899396,0.26057929886711967,0.22573386758565903,0.24240016765064665,0.2437988685899311,0.015623676576689654,0.2871645458539327,0.2760237755046951,0.2515776988201671,0.2603986526528994,0.26843786163462535,0.268720506893264,0.013754356769443274
2024-04-20,2024-04-19→2024-04-28,0.15826388888888893,0.24743055555555557,0.24743055555555518,0.16818075117137699,0.18118781831529407,0.20181637161307867,0.14879644566112096,0.10112369709544713,0.16022101677126355,0.038262748532482495,0.09166371064053642,0.07736021091540657,0.04796135081185236,0.06527550836404167,0.06349044031567046,0.0691502442095015,0.016357535614045456
2024-04-21,2024-04-19→2024-04-28,0.19673611111111122,0.052500000000000026,0.10028260030864203,0.09109849048985375,0.07373105128606161,0.05390818132294552,0.06918277101384272,0.05670418401559196,0.06892493562565911,0.014913764127870615,0.0631390797429615,0.045590684877501626,0.04494853883981709,0.045007460249794885,0.04910274128119155,0.04955770099825333,0.007783751032204138
2024-04-22,2024-04-19→2024-04-28,0.19499999999999992,0.04034722222222223,0.1041030092592592,0.10125050564606984,0.07941848675409953,0.0488773551914427,0.07850816011428835,0.04397761791944506,0.07040642512506909,0.023770756037334934,0.06541661888360978,0.05431900799274444,0.03350498133235507,0.0518069999747806,0.03235989871952268,0.04748150138060252,0.014240223438421165
2024-04-23,2024-04-19→2024-04-28,0.24197916666666647,0.02871527777777777,0.1287770061728395,0.04674908363156849,0.06866206136014727,0.07991075207789738,0.08836964047617384,0.10681727061669033,0.07810176163249546,0.022390738027491246,0.07333509763081869,0.054948820438649904,0.038719531827502776,0.06023958755864037,0.03930556303924984,0.053309720098972314,0.014668976335922158
2024-04-24,2024-04-19→2024-04-28,0.23666666666666666,0.04211805555555554,0.1204817708333333,0.0758812955684132,0.09870188014374838,0.11668352776103548,0.08342951907051935,0.1172918772366312,0.09839761995606952,0.018857948355718298,0.10449344661500717,0.0744293380445904,0.07277892218695745,0.09433659775389563,0.0540503965814908,0.08001774023638829,0.019761221784347267
2024-04-25,2024-04-19→2024-04-28,0.3708680555555558,0.17795138888888895,0.1917303240740743,0.21519755303859714,0.17693789170848,0.13579020235273576,0.14218147877189852,0.1350749663843049,0.16103641845120328,0.034832321637267745,0.1632913464970059,0.19199578858084154,0.17913980762163803,0.19383747690253791,0.21965284460120735,0.18958345284064618,0.020787189484983787
2024-04-26,2024-04-19→2024-04-28,0.28322916666666687,0.2023611111111111,0.20442322530864188,0.13058997101253933,0.1349831032090717,0.12083719495269987,0.14786216768953536,0.09265812171830072,0.12538611171642938,0.02071333786736641,0.12102977176507314,0.13773202223910225,0.11985650565889146,0.15357369836833742,0.16202207893133164,0.13884281539254717,0.01892944474524539
2024-04-27,2024-04-19→2024-04-28,0.14006944444444447,0.04954861111111114,0.07717447916666662,0.03614671544896233,0.024329975214269425,0.0433012350069152,0.037142900592750966,0.033847221997049114,0.03495360965198941,0.006891753181186649,0.03816446406973734,0.04297658658689925,0.04372785455650755,0.02784613288111158,0.03558253980345197,0.03765951557954154,0.006441414118318804
2024-04-28,2024-04-19→2024-04-28,0.18194444444444438,0.04243055555555556,0.10397135416666671,0.038556966814729914,0.04747339520189499,0.04281795710325244,0.0330040979716513,0.03788598686456682,0.03994768079121909,0.0054606060350996955,0.0466292973690563,0.03041084650490021,0.03774860918521883,0.03784246646695669,0.045488406949573096,0.03962392529514102,0.0066151078946793665
2024-07-20,2024-07-20→2024-07-29,0.2806944444444441,0.17225694444444445,0.18596281828703687,0.2733975038925807,0.22748608748118088,0.2566472973426184,0.30424968262513485,0.2161783247523838,0.25559177921877974,0.035458073180147355,0.2648683043983248,0.22508467760350973,0.19247465689977014,0.1833763721916411,0.2119755664798949,0.2155559155146282,0.03202965583367978
2024-07-21,2024-07-20→2024-07-29,0.0598263888888891,0.21093749999999992,0.21093749999999967,0.09264617800712584,0.09729440013567604,0.1181186178657743,0.13867143147521543,0.08238158835305108,0.10582244316736852,0.022505927558157376,0.11222376008828477,0.1002069528897603,0.08267873220973537,0.09988921774758228,0.08630727569262182,0.0962611877255969,0.01190691861488272
2024-07-22,2024-07-20→2024-07-29,0.11963541666666681,0.1255208333333333,0.08694733796296325,0.07838206355218533,0.10137111072187069,0.08479084399011393,0.11910761124557914,0.07086443596416045,0.09090321309478192,0.019369807604945315,0.08200480500857028,0.06623095770676926,0.07446356124348105,0.08759276860290097,0.06876418358749808,0.07581125522984393,0.008950191543550161
2024-07-23,2024-07-20→2024-07-29,0.3379166666666664,0.19720486111111113,0.16976453993055576,0.27838652074337006,0.2822239971823162,0.30041837791601816,0.4134037968185213,0.29743349154790244,0.31437323684162566,0.05616351621336469,0.30050131612353853,0.26328099204434285,0.21351681841744316,0.21772601498497857,0.2640566206640667,0.251816352446874,0.036333501174756935
2024-07-24,2024-07-20→2024-07-29,0.13944444444444434,0.12319444444444445,0.1370418595679009,0.09101609845956166,0.10218156642383996,0.10144743045171101,0.12972593433327145,0.07627093507183919,0.10012839294804465,0.019584317989578784,0.11220869296126895,0.10201147178808845,0.08540795048077898,0.1081824453671773,0.0929297301504347,0.10014805814954968,0.010987010894716603
2024-07-25,2024-07-20→2024-07-29,0.23395833333333346,0.06270833333333331,0.14954861111111117,0.09870721194479208,0.08868161784278028,0.11089811450905275,0.10460120724307172,0.08250811033778725,0.09707925237549682,0.011543715325703202,0.12033770534727314,0.10880311628182734,0.1366563983758291,0.12445714248551269,0.11485717309845825,0.1210223071177801,0.010535761543598114
2024-07-26,2024-07-20→2024-07-29,0.43454861111111076,0.11836805555555562,0.11390335648148148,0.16013244430224097,0.15000976549254516,0.15834112829632221,0.22131984465652035,0.17923791004551776,0.1738082185586293,0.028633285766487094,0.20256575975153174,0.1844590375820795,0.17026339670022322,0.17245289882024123,0.176315321193801,0.18121128280957535,0.01310627270658954
2024-07-27,2024-07-20→2024-07-29,0.24124999999999996,0.09885416666666662,0.1171971450617284,0.05350418567657474,0.0814435538980696,0.08617497252093423,0.09242129968272317,0.0576967140701082,0.07424814516968198,0.017525327309964974,0.08746718936496313,0.08154012733035618,0.07992636985248991,0.08174559864732957,0.07535599185360803,0.08120705540974936,0.004343539544393451
2024-07-28,2024-07-20→2024-07-29,0.11409722222222264,0.1377777777777778,0.060297067901234555,0.11325842314296303,0.08101535704400807,0.0582292860746384,0.0847782472769419,0.06840015941196018,0.08113629459010233,0.020808950997306355,0.1364554386668735,0.12197907646497091,0.10101358771324159,0.1065467713938819,0.12486458718776704,0.118171892285347,0.014345083968473317
2024-07-29,2024-07-20→2024-07-29,0.10399305555555577,0.08385416666666659,0.06918692129629642,0.08315678887897063,0.08694061948193436,0.13219686667124422,0.13982896983623497,0.10188671059078631,0.10880199109183411,0.025949039881056016,0.07144871340857609,0.07415701137648685,0.064042193227344,0.06275230255391856,0.0661812478303909,0.06771629367934329,0.004896692487601384
2024-09-15,2024-09-15→2024-09-24,0.846666666666667,0.25031250000000005,0.38111906828703673,0.27050531109174103,0.24253599968221456,0.19840842147668208,0.26926072789563077,0.28152518623405043,0.2524471292760638,0.033439276517042454,0.2286185536119673,0.253633534444703,0.24085253391000958,0.26008168624507055,0.2974013731214736,0.2561175362666448,0.02605501045648089
2024-09-16,2024-09-15→2024-09-24,0.6300694444444441,0.08652777777777773,0.2782638888888889,0.20951487322648366,0.21654030044873554,0.1867732552687327,0.392499779926406,0.2706162816286086,0.2551888980997933,0.08269342970130014,0.13232834928565554,0.14393667221069334,0.17115657448768612,0.1388967649804221,0.18738748047086926,0.15474116828706527,0.02348065143438116
2024-09-17,2024-09-15→2024-09-24,0.4111458333333333,0.4317013888888888,0.4339930555555552,0.4139351716306474,0.42623439848423,0.40734577549828427,0.18568960785865782,0.29500062704086305,0.34564111610253656,0.10382167921317588,0.4749071991443634,0.46435995029078586,0.43990807692209877,0.4106326099236806,0.40807782404952575,0.43957713206609095,0.030382984592474415
