,MAE,RMSE,MAPE,sMAPE
persistencia,0.0727,0.0942,1.1683,1.1657
sazonal_naive_288,0.0501,0.0648,0.8079,0.8051
media_movel_288,0.0631,0.0768,1.0159,1.0133
lstnet,0.0456,0.0605,0.7351,0.7318
