,MAE,RMSE,MAPE,sMAPE
persistencia,0.0745,0.1046,1.2991,1.3008
sazonal_naive_288,0.0627,0.0937,1.0927,1.096
media_movel_288,0.0668,0.0965,1.1615,1.1651
lstnet,0.0489,0.0724,0.8537,0.8553
