,persistencia,sazonal_naive_288,media_movel_288,arima_212_h,prophet
2024-04-19,0.24166668951511383,0.30190977454185486,0.3116384446620941,0.24166670110490587,0.3690776992184469
2024-04-20,0.15826378762722015,0.24743059277534485,0.2474304884672165,0.15826378928290474,0.5897827261198653
2024-04-21,0.196736142039299,0.05249999463558197,0.10028261691331863,0.1967361428671413,0.49363532621858397
2024-04-22,0.19499999284744263,0.04034722223877907,0.10410300642251968,0.19499999698665407,0.441930630668664
2024-04-23,0.24197912216186523,0.02871526964008808,0.12877701222896576,0.2419791180226538,0.4664012035791696
2024-04-24,0.23666661977767944,0.04211802780628204,0.1204816997051239,0.23666661232709885,0.4910594968571935
2024-04-25,0.37086808681488037,0.17795142531394958,0.1917305737733841,0.3708680777086152,0.3699138172851868
2024-04-26,0.2832292318344116,0.2023611068725586,0.20442333817481995,0.2832292334900962,0.2141193416636267
2024-04-27,0.140069380402565,0.0495486743748188,0.07717448472976685,0.14006938536961874,0.255389967693075
2024-04-28,0.18194440007209778,0.04243062436580658,0.10397136211395264,0.18194439676072863,0.17216237324401962
2024-07-20,0.2806943655014038,0.17225691676139832,0.18596309423446655,0.2806943870253033,0.4595996145907512
2024-07-21,0.05982644855976105,0.2109375,0.21093739569187164,0.059826445248391896,0.5485437609504739
2024-07-22,0.11963526159524918,0.12552091479301453,0.08694735914468765,0.1196352591117223,0.49229205052778785
2024-07-23,0.33791643381118774,0.1972047984600067,0.1697646975517273,0.3379164503680335,0.5493312934618804
2024-07-24,0.13944442570209503,0.12319450825452805,0.13704191148281097,0.13944443232483333,0.5593305739922059
2024-07-25,0.23395824432373047,0.06270840018987656,0.14954856038093567,0.23395825094646877,0.5670831931243602
2024-07-26,0.4345484972000122,0.11836804449558258,0.11390333622694016,0.4345484905772739,0.5247813367621982
2024-07-27,0.24125006794929504,0.09885415434837341,0.11719711869955063,0.241250056359503,0.4634044339568818
2024-07-28,0.11409728974103928,0.13777779042720795,0.06029714643955231,0.1140972872575124,0.35534296625011097
2024-07-29,0.10399308800697327,0.08385421335697174,0.06918694078922272,0.10399308800697327,0.2542267050683697
2024-09-15,0.8466667532920837,0.2503125071525574,0.3811191916465759,0.8466667897171445,0.2519854133134867
2024-09-16,0.6300693154335022,0.08652777969837189,0.2782638967037201,0.630069363448355,0.3443309575311639
2024-09-17,0.4111458659172058,0.4317014217376709,0.4339931607246399,0.4111458642615212,0.2646764091604208
2024-09-18,0.6659722924232483,0.17649304866790771,0.45321518182754517,0.6659722907675637,0.3019833050407931
2024-09-19,0.6171526312828064,0.13652777671813965,0.4227546155452728,0.6171526263157526,0.24618713041670975
2024-09-20,0.7667707800865173,0.17586806416511536,0.46970346570014954,0.7667707718080945,0.29733600392364706
2024-09-21,0.8878125548362732,0.26104167103767395,0.5189874172210693,0.887812582982911,0.28902051840471266
2024-09-22,0.5907290577888489,0.25458332896232605,0.4353841245174408,0.5907290842798021,0.2633820675469628
2024-09-23,0.7934721112251282,0.1392708271741867,0.5580741763114929,0.7934721559286118,0.3946441370039269
2024-09-24,0.7606945633888245,0.06993057578802109,0.5284326672554016,0.7606945004728105,0.36106969738108685
2024-11-20,0.7791667580604553,0.09854164719581604,0.5189217329025269,0.7791667415036095,0.49212439634334854
2024-11-21,0.8096527457237244,0.14069443941116333,0.5383912324905396,0.8096527374453015,0.46465076941279343
2024-11-22,0.90541672706604,0.1093749850988388,0.5306655168533325,0.9054166641500261,0.5791294217729503
2024-11-23,0.769270658493042,0.27579861879348755,0.6044299602508545,0.769270689951049,0.8804904797005715
2024-11-24,0.8445484638214111,0.1892360895872116,0.5709406137466431,0.8445485267374251,1.0144203947589692
2024-12-13,0.9186460971832275,0.11204859614372253,0.5794329643249512,0.9186460061205758,0.7963596220444477
2024-12-14,0.9616320133209229,0.10201387852430344,0.4996819496154785,0.9616319388151169,0.7770609514582613
2024-12-15,0.763472318649292,0.18857638537883759,0.5570197105407715,0.763472295469708,0.6450534222801272
2024-12-16,0.7755902409553528,0.2806597054004669,0.5625202059745789,0.7755902922815747,0.8693635144372625
2024-12-17,0.8189930319786072,0.07458334416151047,0.5506237745285034,0.8189930319786072,0.968112810634019
2024-12-18,0.8282637596130371,0.17531247437000275,0.5918385982513428,0.8282637728585137,1.1803484122159171
2024-12-19,0.8624304533004761,0.06708335131406784,0.5898061394691467,0.8624304632345835,1.2834120572488328
2024-12-20,1.0119620561599731,0.19348959624767303,0.5801947712898254,1.0119619601302676,1.1613449245216545
2024-12-21,1.2018400430679321,0.8098784685134888,0.8314296007156372,1.2018400811486774,0.40222957486820277
2024-12-22,0.7051736116409302,0.5506249666213989,0.6928318738937378,0.7051735694209734,0.3685142713902148
