,persistencia,sazonal_naive_288,saz_escalado,lstnet,lgbm_mult,dlw,ens,amp_dia
2026-07-12,0.296527777777778,0.07621527777777783,0.10969569094698178,0.09705196453465358,0.1587499649127324,0.12646789810579828,0.09339736345115088,0.7700000000000005
2026-07-13,0.42246527777777776,0.15947916666666664,0.21730463841932743,0.2844569913546244,0.1761934803591834,0.24290280604204678,0.25466997677265024,0.79
2026-07-14,0.34277777777777774,0.2451736111111111,0.24023918514058507,0.20663974470562405,0.27707019024425084,0.22208831749591706,0.1878031571074366,1.17
2026-07-15,0.3177777777777779,0.45437500000000003,0.39794785235193003,0.14869021561410692,0.5318780210283068,0.3584767078089269,0.13851548411619533,0.9699999999999998
2026-07-16,0.34784722222222225,0.12187499999999998,0.10528729041563861,0.1740815288490719,0.22831587970256806,0.13246284748304285,0.1643709840625784,1.1100000000000003
2026-07-17,0.39190972222222215,0.06468750000000004,0.16286377054544787,0.1644370420773823,0.1687046295404434,0.13952233143882176,0.15054976107589782,1.2500000000000009
2026-07-18,0.45052083333333326,0.05916666666666669,0.10734716008220335,0.21638058563073473,0.16768183290958408,0.1911113608721805,0.18158755893052592,1.4200000000000008
2026-07-19,0.4940277777777779,0.06197916666666662,0.10999313689238346,0.2453081899219089,0.13869859556357067,0.2917201668525943,0.20012542647761122,1.5699999999999994
2026-07-20,0.5771527777777778,0.08798611111111113,0.12093203765988757,0.3624783763620589,0.19031980733076734,0.28686935712905925,0.3062001544270929,1.83
2026-07-21,0.6318750000000002,0.2187500000000001,0.3024140393870906,0.5284187188413408,0.1527961619695028,0.3794957347699933,0.44875099106921607,1.8200000000000003
