,MAE,RMSE,MAPE,sMAPE
persistencia,0.2371,0.3019,3.3575,3.353
sazonal_naive_288,0.1525,0.177,2.1668,2.1918
media_movel_288,0.19,0.2468,2.6526,2.6942
saz_escalado,0.1506,0.1677,2.1472,2.1577
lstnet,0.0981,0.1198,1.3839,1.3878
lgbm_mult,0.1784,0.2223,2.5251,2.561
dlw,0.1526,0.1792,2.1728,2.1841
ens,0.1009,0.1247,1.4215,1.4294
