,MAE,RMSE,MAPE,sMAPE
persistencia,0.2371,0.3019,3.3575,3.353
sazonal_naive_288,0.1525,0.177,2.1668,2.1918
media_movel_288,0.19,0.2468,2.6526,2.6942
lstnet,0.0981,0.1198,1.3839,1.3878
lgbm,0.1889,0.2302,2.6747,2.7115
dlres,0.144,0.1714,2.0502,2.0584
ens,0.1024,0.1267,1.4426,1.4506
