,MAE,RMSE,MAPE,sMAPE
persistencia,0.0368,0.0542,0.5942,0.5942
sazonal_naive_288,0.047,0.0654,0.7578,0.7577
media_movel_288,0.0618,0.0773,0.9943,0.9944
prophet,0.0471,0.0621,0.7577,0.7579
