,MAE,RMSE,MAPE,sMAPE
persistencia,0.0727,0.0942,1.1683,1.1657
sazonal_naive_288,0.0501,0.0648,0.8079,0.8051
media_movel_288,0.0631,0.0768,1.0159,1.0133
lstnet,0.0456,0.0605,0.7351,0.7318
lgbm,0.0609,0.0788,0.9833,0.9764
dlres,0.0508,0.064,0.8186,0.8153
ens,0.0475,0.0631,0.766,0.7619
