,persistencia,sazonal_naive_288,media_movel_288,lstnet(02),patchtst,dlinear
2024-04-19,0.030520925298333168,0.026215367019176483,0.027651505544781685,0.01958385668694973,0.022240018472075462,0.021703965961933136
2024-04-20,0.014583330601453781,0.062257032841444016,0.06204869970679283,0.04407472163438797,0.038369134068489075,0.0424395389854908
2024-04-21,0.02597229927778244,0.022569440305233,0.021734796464443207,0.019697017967700958,0.046944763511419296,0.020413922145962715
2024-04-22,0.01937500387430191,0.023750005289912224,0.025798460468649864,0.01864968240261078,0.021065929904580116,0.017100509256124496
2024-04-23,0.0491318553686142,0.03274310752749443,0.034157853573560715,0.022627701982855797,0.04998815804719925,0.03369778394699097
2024-04-24,0.03329864516854286,0.024027850478887558,0.028625747188925743,0.02123754471540451,0.02102728933095932,0.022893182933330536
2024-04-25,0.05090305581688881,0.025520898401737213,0.019595621153712273,0.02713971585035324,0.03188132867217064,0.024111341685056686
2024-04-26,0.034860968589782715,0.026319440454244614,0.02461477369070053,0.016736304387450218,0.025702232494950294,0.015138443559408188
2024-04-27,0.014756941236555576,0.01795136369764805,0.015052073635160923,0.016997642815113068,0.022966427728533745,0.013667810708284378
2024-04-28,0.05805562064051628,0.0206596776843071,0.01952112466096878,0.0209649708122015,0.01594187691807747,0.021568529307842255
2024-07-20,0.04100681096315384,0.02239581197500229,0.023950591683387756,0.0178680457174778,0.02124832198023796,0.02098711021244526
2024-07-21,0.0273610707372427,0.039201345294713974,0.04027056694030762,0.02257036417722702,0.023327011615037918,0.025948520749807358
2024-07-22,0.05263884365558624,0.0733332633972168,0.052889611572027206,0.06590356677770615,0.06572584062814713,0.06555751711130142
2024-07-23,0.05347239971160889,0.09506942331790924,0.07395830005407333,0.04903353750705719,0.028226027265191078,0.0373639278113842
2024-07-24,0.03305560350418091,0.0181250162422657,0.03307296335697174,0.023462241515517235,0.026151886209845543,0.04426313191652298
2024-07-25,0.024826491251587868,0.021284759044647217,0.02710268646478653,0.019727922976017,0.021491382271051407,0.016283823177218437
2024-07-26,0.03343759477138519,0.03381945937871933,0.03786901757121086,0.01743803732097149,0.03852083906531334,0.016460571438074112
2024-07-27,0.035381946712732315,0.030277831479907036,0.03736956790089607,0.017233502119779587,0.027125436812639236,0.04771003499627113
2024-07-28,0.04527786746621132,0.036770839244127274,0.015282620675861835,0.03434436395764351,0.03575195372104645,0.044551923871040344
2024-07-29,0.020034655928611755,0.022256899625062943,0.021871035918593407,0.014968923293054104,0.029681537300348282,0.027577228844165802
2024-09-15,0.13775688409805298,0.08629251271486282,0.06052900850772858,0.0789651945233345,0.08089566230773926,0.07253274321556091
2024-09-16,0.057437047362327576,0.057540688663721085,0.04575864598155022,0.041475117206573486,0.08016940206289291,0.04389210417866707
2024-09-17,0.07478597015142441,0.07373877614736557,0.06922837346792221,0.06570589542388916,0.13128669559955597,0.10871035605669022
2024-09-18,0.08754625171422958,0.06868980824947357,0.0755072832107544,0.0703849047422409,0.050011046230793,0.05520438402891159
2024-09-19,0.10057418048381805,0.0693417638540268,0.07785003632307053,0.06709590554237366,0.048443835228681564,0.051237817853689194
2024-09-20,0.15504619479179382,0.061371102929115295,0.07468557357788086,0.06869492679834366,0.05872919782996178,0.052055757492780685
2024-09-21,0.1695820838212967,0.0644543319940567,0.08103010058403015,0.060065850615501404,0.07647856324911118,0.06459888815879822
2024-09-22,0.11512509733438492,0.09269624948501587,0.08834633976221085,0.07447990030050278,0.07574252784252167,0.07145747542381287
2024-09-23,0.2074269950389862,0.06465359032154083,0.09305298328399658,0.07509016990661621,0.06187953054904938,0.07801064848899841
2024-09-24,0.0885649025440216,0.05303412675857544,0.07757336646318436,0.0498206689953804,0.040439169853925705,0.04358189180493355
2024-11-20,0.06796883046627045,0.015638889744877815,0.03873272240161896,0.017283547669649124,0.017112217843532562,0.016720112413167953
2024-11-21,0.06913214921951294,0.02071298658847809,0.04141930863261223,0.020003188401460648,0.02093723975121975,0.024070443585515022
2024-11-22,0.053489770740270615,0.01915161870419979,0.038430530577898026,0.023748256266117096,0.016005201265215874,0.01707073301076889
2024-11-23,0.07138889282941818,0.02711690217256546,0.04786566644906998,0.021921740844845772,0.02692820318043232,0.034318070858716965
2024-11-24,0.07807275652885437,0.023946773260831833,0.04932396858930588,0.016236575320363045,0.019917219877243042,0.018874188885092735
