,fatia,persistencia,sazonal_naive_288,media_movel_288,patchtst_s42,patchtst_s7,patchtst_s123,patchtst_s2024,patchtst_s999,dlinear_s42,dlinear_s7,dlinear_s123,dlinear_s2024,dlinear_s999,patchtst_media,patchtst_dp,dlinear_media,dlinear_dp
2024-04-19,2024-04-19→2024-04-28,0.030520833333333226,0.026215277777777685,0.027651427469135743,0.021880237128999433,0.02647823691368094,0.023894556827015263,0.021217323276731655,0.02333700418472283,0.021012780732578624,0.020224210686153748,0.021371684670448237,0.02060367352432669,0.020954803427060378,0.023361471666230024,0.0020488064894281536,0.020833430608113535,0.0004360483043217461
2024-04-20,2024-04-19→2024-04-28,0.014583333333333278,0.06225694444444437,0.06204861111111147,0.0443267451392279,0.03900189095073271,0.038851244714524946,0.04547410945097599,0.04157113558716238,0.045164018273353514,0.04637899226612509,0.046579059163729286,0.04831671999560456,0.046198195219039846,0.041845025168524785,0.0030187056759491955,0.04652739698357046,0.0011394675392103625
2024-04-21,2024-04-19→2024-04-28,0.025972222222222115,0.022569444444444458,0.02173466435185202,0.024513321187761145,0.030236574080255388,0.024095695084995733,0.023983036412133178,0.02291739205519363,0.016285922328631096,0.01628987762663102,0.01717360297838848,0.015817605455716463,0.016725655727916303,0.02514920376406781,0.002904156233673699,0.016458532823456672,0.0005127637910431502
2024-04-22,2024-04-19→2024-04-28,0.019374999999999958,0.023749999999999973,0.02579861111111106,0.022569710744751767,0.018203498125076243,0.02821097294489537,0.019062807758649127,0.022938295006751944,0.01862656699286562,0.017347398002942365,0.017735482586754628,0.017213166753451,0.018967141840192943,0.02219705691602489,0.003956877568954739,0.01797795123524131,0.0007811024551574543
2024-04-23,2024-04-19→2024-04-28,0.049131944444444124,0.032743055555555574,0.03415798611110977,0.033144453035460625,0.03390270570913955,0.025646619068251757,0.035135106974177946,0.023744237621625308,0.027102809151013724,0.028312187923325467,0.030051311122046627,0.027276653051376387,0.027376777066124854,0.03031462448173104,0.0052220581677556435,0.02802394766277741,0.0012266886543695293
2024-04-24,2024-04-19→2024-04-28,0.033298611111110814,0.024027777777777717,0.028625578703703438,0.015030839244524577,0.02218530337015781,0.017024673355950162,0.017330821355183865,0.01611419253879116,0.018936367432276346,0.020245079398155154,0.020576955543623973,0.02125379244486485,0.02018720004293647,0.017537165972921518,0.002748496639575155,0.020239878972371356,0.0008431467241510875
2024-04-25,2024-04-19→2024-04-28,0.050902777777777936,0.025520833333333305,0.019595389660494303,0.024631152550379336,0.03374439265992897,0.025462490121523438,0.028181628915998586,0.025495405726962555,0.024232991933822525,0.026321858035193452,0.022623481949170347,0.025705107119348217,0.024452475508054003,0.027503013994958574,0.0037368818098533446,0.024667182909117708,0.0014340999898739175
2024-04-26,2024-04-19→2024-04-28,0.03486111111111128,0.026319444444444486,0.024614679783951085,0.018372172315915373,0.01849176896942982,0.018664238452911323,0.018857842153973004,0.016773254672686214,0.015025484164555807,0.015532201793458671,0.015180357495943656,0.014290646314620924,0.015197658207681403,0.018231855312983145,0.0008356994828855338,0.015045269595252092,0.00046054906218014936
2024-04-27,2024-04-19→2024-04-28,0.014756944444444368,0.017951388888888864,0.015052083333333247,0.01577697992324829,0.013031298451953464,0.013826077514224579,0.01619080265363057,0.01546819435225591,0.014506351285510572,0.014249919785393599,0.015798948340945754,0.016471158597204417,0.016578443050384518,0.014858670579062563,0.001359680520773747,0.015520964211887773,0.0010889673278222625
2024-04-28,2024-04-19→2024-04-28,0.05805555555555549,0.020659722222222177,0.019521122685185043,0.014666527509689291,0.020674093696806096,0.017673400044441158,0.012769066492716427,0.01672310186756976,0.01995740724934465,0.019151048925187777,0.016851351393593613,0.015759760869873816,0.01858708898226413,0.016501237922244547,0.003005460815064973,0.0180613314840528,0.0017190322471907062
