fatia,MAE,RMSE,MAPE,sMAPE
2024-04-19→2024-04-28,0.1098±0.0067,0.1485±0.0077,3.5448±0.2265,3.5792±0.2276
2024-07-20→2024-07-29,0.1206±0.0079,0.158±0.0066,1.9345±0.1236,1.9417±0.1331
2024-09-15→2024-09-24,0.1613±0.0043,0.2168±0.0076,2.5159±0.0748,2.4851±0.0635
2024-11-20→2024-11-24,0.1494±0.0161,0.1938±0.0155,2.4634±0.2768,2.4964±0.2931
2024-12-13→2024-12-22,0.1938±0.004,0.2573±0.0084,3.5521±0.0759,3.5276±0.0714
