,persistencia,sazonal_naive_288,media_movel_288,lstnet(02),lgbm,dlres,ens
2024-04-26,0.2832292318344116,0.2023611068725586,0.20442333817481995,0.1656625121831894,0.20688249170780182,0.1319456547498703,0.17437890343069168
2024-04-27,0.140069380402565,0.0495486743748188,0.07717448472976685,0.03309539332985878,0.06373972445726395,0.05440051853656769,0.024278155369725243
2024-04-28,0.18194440007209778,0.04243062436580658,0.10397136211395264,0.057585373520851135,0.049554817378520966,0.05362497270107269,0.051365615661736294
2024-07-20,0.2806943655014038,0.17225691676139832,0.18596309423446655,0.20420914888381958,0.22348792850971222,0.2392212301492691,0.1836040984267391
2024-07-21,0.05982644855976105,0.2109375,0.21093739569187164,0.0655340850353241,0.12391482293605804,0.08524596691131592,0.06348561278449975
2024-07-22,0.11963526159524918,0.12552091479301453,0.08694735914468765,0.07927113771438599,0.11860336363315582,0.06000050529837608,0.06679711063666105
2024-07-23,0.33791643381118774,0.1972047984600067,0.1697646975517273,0.2982122004032135,0.23151595890522003,0.2908188998699188,0.25343444134065896
2024-07-24,0.13944442570209503,0.12319450825452805,0.13704191148281097,0.11337968707084656,0.11428230255842209,0.09454242140054703,0.0916618579117566
2024-07-25,0.23395824432373047,0.06270840018987656,0.14954856038093567,0.09821418672800064,0.0613982230424881,0.12229010462760925,0.08049900912453858
2024-07-26,0.4345484972000122,0.11836804449558258,0.11390333622694016,0.09971466660499573,0.09323130548000336,0.2024253010749817,0.09379479026372345
2024-07-27,0.24125006794929504,0.09885415434837341,0.11719711869955063,0.07574272900819778,0.16128414869308472,0.07991507649421692,0.08761114389764073
2024-07-28,0.11409728974103928,0.13777779042720795,0.06029714643955231,0.1001807227730751,0.11041104048490524,0.12785513699054718,0.1334899356822453
2024-07-29,0.10399308800697327,0.08385421335697174,0.06918694078922272,0.07802210748195648,0.07598463445901871,0.07582561671733856,0.08356488531887965
2024-09-15,0.8466667532920837,0.2503125071525574,0.3811191916465759,0.20861747860908508,0.1998351812362671,0.24474436044692993,0.249016264538407
2024-09-16,0.6300693154335022,0.08652777969837189,0.2782638967037201,0.1490085870027542,0.14659637212753296,0.194422647356987,0.14267262008701598
2024-09-17,0.4111458659172058,0.4317014217376709,0.4339931607246399,0.3586571514606476,0.3451753258705139,0.4841606914997101,0.3659683913077274
2024-09-18,0.6659722924232483,0.17649304866790771,0.45321518182754517,0.13489514589309692,0.10269299149513245,0.14126576483249664,0.1473368399151302
2024-09-19,0.6171526312828064,0.13652777671813965,0.4227546155452728,0.14257100224494934,0.14014805853366852,0.17484034597873688,0.1363940210717032
2024-09-20,0.7667707800865173,0.17586806416511536,0.46970346570014954,0.1633036732673645,0.14381395280361176,0.14857546985149384,0.18239469186974816
2024-09-21,0.8878125548362732,0.26104167103767395,0.5189874172210693,0.19893039762973785,0.2257520854473114,0.17966382205486298,0.2253134792748145
2024-09-22,0.5907290577888489,0.25458332896232605,0.4353841245174408,0.26633208990097046,0.1348668932914734,0.300256609916687,0.2579035363433724
2024-09-23,0.7934721112251282,0.1392708271741867,0.5580741763114929,0.16454042494297028,0.11268076300621033,0.19348500669002533,0.1787292633377899
2024-09-24,0.7606945633888245,0.06993057578802109,0.5284326672554016,0.07196594774723053,0.10638470202684402,0.07750134915113449,0.0510440257465844
2024-11-20,0.7791667580604553,0.09854164719581604,0.5189217329025269,0.05713893473148346,0.12093427777290344,0.10000506043434143,0.05591625406800712
2024-11-21,0.8096527457237244,0.14069443941116333,0.5383912324905396,0.06549028307199478,0.1879560500383377,0.0950699895620346,0.07872424424470746
2024-11-22,0.90541672706604,0.1093749850988388,0.5306655168533325,0.07742788642644882,0.15604272484779358,0.06438066810369492,0.06594331114678731
2024-11-23,0.769270658493042,0.27579861879348755,0.6044299602508545,0.2444034367799759,0.4493004381656647,0.29913774132728577,0.24844175985191835
2024-11-24,0.8445484638214111,0.1892360895872116,0.5709406137466431,0.06045624986290932,0.16632378101348877,0.06836844980716705,0.04144840144174057
