dia,sazonal,saz_esc,lstnet_ft,lgbm_B,dlw_B,amptrend,ensB,amp_dia
2026-07-12,0.07621527777777783,0.10969569094698178,0.08866097821129691,0.15046395427650874,0.11399976739305002,0.19021863553113688,0.11013397517298601,0.7700000000000005
2026-07-13,0.15947916666666664,0.21730463841932743,0.16286594463719262,0.2485419572724236,0.21540505771652124,0.13621906764707395,0.15492486966354957,0.79
2026-07-14,0.2451736111111111,0.24023918514058507,0.09792743172910479,0.3065424843629201,0.18283952562071842,0.27150811791336665,0.13373281422060262,1.17
2026-07-15,0.45437500000000003,0.39794785235193003,0.19668418202135302,0.5946136047442755,0.2990257650069685,0.9695138613534233,0.41330970233320513,0.9699999999999998
2026-07-16,0.12187499999999998,0.10528729041563861,0.26637346294191144,0.3881839687956704,0.3285670828121429,0.6712491234366246,0.3798497680890064,1.1100000000000003
2026-07-17,0.06468750000000004,0.16286377054544787,0.22703477998574575,0.1361008990473217,0.13128926994350174,0.5244277564102559,0.3103945550796941,1.2500000000000009
2026-07-18,0.05916666666666669,0.10734716008220335,0.13919373485777117,0.053144047591421245,0.11931849309050849,0.4777241870023552,0.2291365316892499,1.4200000000000008
2026-07-19,0.06197916666666662,0.10999313689238346,0.0845022033320533,0.06941400090853374,0.19836720242061553,0.39131402236298707,0.15513625167810904,1.5699999999999994
2026-07-20,0.08798611111111113,0.12093203765988757,0.10253709720240699,0.13502047095033856,0.292115953631906,0.31785745978369007,0.10719714740857637,1.83
2026-07-21,0.2187500000000001,0.3024140393870906,0.28728158586555064,0.3143565960062875,0.38257530133602113,0.20632441291495773,0.25298377897249735,1.8200000000000003
