,sazonal_naive_288,saz_escalado,lstnet_ft,lgbm_A,amptrend,ensA,amp_dia
2026-07-12,0.07621527777777783,0.10969569094698178,0.08866097986698149,0.11803797317875755,0.19021863553113688,0.0826064868920801,0.7700000000000005
2026-07-13,0.15947916666666664,0.21730463841932743,0.16286595457130007,0.17745580540763006,0.13621906764707395,0.284442921492136,0.79
2026-07-14,0.2451736111111111,0.24023918514058507,0.09792742676205106,0.2436039925283856,0.27150811791336665,0.18703199402739618,1.17
2026-07-15,0.45437500000000003,0.39794785235193003,0.19668418202135302,0.4651015116771063,0.9695138613534233,0.1360057541553045,0.9699999999999998
2026-07-16,0.12187499999999998,0.10528729041563861,0.2663734728760189,0.17679088751475014,0.6712491234366246,0.17034440527501565,1.1100000000000003
2026-07-17,0.06468750000000004,0.16286377054544787,0.22703477833006117,0.1123640373018053,0.5244277564102559,0.14098723212034292,1.2500000000000009
2026-07-18,0.05916666666666669,0.10734716008220335,0.13919371664524083,0.11906908035278321,0.4777241870023552,0.1324174693297604,1.4200000000000008
2026-07-19,0.06197916666666662,0.10999313689238346,0.08450221326616075,0.07843277136484783,0.39131402236298707,0.14706126961173746,1.5699999999999994
2026-07-20,0.08798611111111113,0.12093203765988757,0.10253710713651445,0.1397861338986291,0.31785745978369007,0.25484271000105085,1.83
2026-07-21,0.2187500000000001,0.3024140393870906,0.287281529572275,0.17728521241082096,0.20632441291495773,0.458153438794514,1.8200000000000003
