,fatia,persistencia,sazonal_naive_288,media_movel_288,lstnet_mean13,lgbm,dlres_mean,ens
2024-04-19,2024-04-19→2024-04-28,0.24166668951511383,0.30190977454185486,0.3116384446620941,0.3074701726436615,0.30010831356048584,0.2670651078224182,0.2882854264493293
2024-04-20,2024-04-19→2024-04-28,0.15826378762722015,0.24743059277534485,0.2474304884672165,0.12374647706747055,0.21899400651454926,0.0727420225739479,0.09992549121955506
2024-04-21,2024-04-19→2024-04-28,0.196736142039299,0.05249999463558197,0.10028261691331863,0.05612318217754364,0.050190940499305725,0.05320223420858383,0.052068820202331834
2024-04-22,2024-04-19→2024-04-28,0.19499999284744263,0.04034722223877907,0.10410300642251968,0.04075545817613602,0.0742187649011612,0.04177236557006836,0.036500465279006314
2024-04-23,2024-04-19→2024-04-28,0.24197912216186523,0.02871526964008808,0.12877701222896576,0.028477124869823456,0.049679189920425415,0.044861286878585815,0.030290486893216284
2024-04-24,2024-04-19→2024-04-28,0.23666661977767944,0.04211802780628204,0.1204816997051239,0.04838943853974342,0.09838376194238663,0.07328835129737854,0.05011129565291418
2024-04-25,2024-04-19→2024-04-28,0.37086808681488037,0.17795142531394958,0.1917305737733841,0.17441970109939575,0.12025637179613113,0.19242219626903534,0.18851669031555748
2024-04-26,2024-04-19→2024-04-28,0.2832292318344116,0.2023611068725586,0.20442333817481995,0.16713741421699524,0.14471188187599182,0.13971754908561707,0.16621903863264903
2024-04-27,2024-04-19→2024-04-28,0.140069380402565,0.0495486743748188,0.07717448472976685,0.05783441290259361,0.0877126157283783,0.03965910151600838,0.03735664150955701
2024-04-28,2024-04-19→2024-04-28,0.18194440007209778,0.04243062436580658,0.10397136211395264,0.07634590566158295,0.07982933521270752,0.04160533845424652,0.07108164201911243
2024-07-20,2024-07-20→2024-07-29,0.2806943655014038,0.17225691676139832,0.18596309423446655,0.2044873833656311,0.22639089822769165,0.2297111600637436,0.19785283259846806
2024-07-21,2024-07-20→2024-07-29,0.05982644855976105,0.2109375,0.21093739569187164,0.035210538655519485,0.18147826194763184,0.1015317291021347,0.04168318871050624
2024-07-22,2024-07-20→2024-07-29,0.11963526159524918,0.12552091479301453,0.08694735914468765,0.07990191876888275,0.13176152110099792,0.07004398852586746,0.06828153771847534
2024-07-23,2024-07-20→2024-07-29,0.33791643381118774,0.1972047984600067,0.1697646975517273,0.276383638381958,0.3646543323993683,0.28156062960624695,0.2621020404033176
2024-07-24,2024-07-20→2024-07-29,0.13944442570209503,0.12319450825452805,0.13704191148281097,0.1163579598069191,0.2180252969264984,0.10621386766433716,0.09841596744880496
2024-07-25,2024-07-20→2024-07-29,0.23395824432373047,0.06270840018987656,0.14954856038093567,0.10421533137559891,0.23308604955673218,0.1132073774933815,0.09715794925087005
2024-07-26,2024-07-20→2024-07-29,0.4345484972000122,0.11836804449558258,0.11390333622694016,0.10799756646156311,0.21258457005023956,0.18949991464614868,0.11704081196908724
2024-07-27,2024-07-20→2024-07-29,0.24125006794929504,0.09885415434837341,0.11719711869955063,0.07166440039873123,0.2223251461982727,0.08403536677360535,0.07861040550138383
2024-07-28,2024-07-20→2024-07-29,0.11409728974103928,0.13777779042720795,0.06029714643955231,0.10756928473711014,0.16296927630901337,0.12882526218891144,0.12448784149673238
2024-07-29,2024-07-20→2024-07-29,0.10399308800697327,0.08385421335697174,0.06918694078922272,0.07652278244495392,0.27109187841415405,0.06699612736701965,0.07200371741678883
2024-09-15,2024-09-15→2024-09-24,0.8466667532920837,0.2503125071525574,0.3811191916465759,0.2350212186574936,0.21187813580036163,0.26637914776802063,0.2602336644911662
2024-09-16,2024-09-15→2024-09-24,0.6300693154335022,0.08652777969837189,0.2782638967037201,0.34355786442756653,0.19247110188007355,0.17660872638225555,0.27395195319152577
