,persistencia,sazonal_naive_288,media_movel_288,lstnet(02),patchtst,dlinear
2024-04-26,0.2832292318344116,0.2023611068725586,0.20442333817481995,0.1656625121831894,0.14986518025398254,0.14768269658088684
2024-04-27,0.140069380402565,0.0495486743748188,0.07717448472976685,0.03309539332985878,0.03245006129145622,0.05418772995471954
2024-04-28,0.18194440007209778,0.04243062436580658,0.10397136211395264,0.057585373520851135,0.059803783893585205,0.0543966181576252
2024-07-20,0.2806943655014038,0.17225691676139832,0.18596309423446655,0.20420914888381958,0.2935807406902313,0.23297929763793945
2024-07-21,0.05982644855976105,0.2109375,0.21093739569187164,0.0655340850353241,0.1335606724023819,0.07927758991718292
2024-07-22,0.11963526159524918,0.12552091479301453,0.08694735914468765,0.07927113771438599,0.07382240891456604,0.06286802887916565
2024-07-23,0.33791643381118774,0.1972047984600067,0.1697646975517273,0.2982122004032135,0.3306138515472412,0.2572983205318451
2024-07-24,0.13944442570209503,0.12319450825452805,0.13704191148281097,0.11337968707084656,0.09759460389614105,0.086783766746521
2024-07-25,0.23395824432373047,0.06270840018987656,0.14954856038093567,0.09821418672800064,0.11980537325143814,0.10698729753494263
2024-07-26,0.4345484972000122,0.11836804449558258,0.11390333622694016,0.09971466660499573,0.22045987844467163,0.17190876603126526
2024-07-27,0.24125006794929504,0.09885415434837341,0.11719711869955063,0.07574272900819778,0.061962902545928955,0.08935108780860901
2024-07-28,0.11409728974103928,0.13777779042720795,0.06029714643955231,0.1001807227730751,0.09092699736356735,0.1054014340043068
2024-07-29,0.10399308800697327,0.08385421335697174,0.06918694078922272,0.07802210748195648,0.08785630762577057,0.06926625967025757
2024-09-15,0.8466667532920837,0.2503125071525574,0.3811191916465759,0.20861747860908508,0.21515563130378723,0.2765246033668518
2024-09-16,0.6300693154335022,0.08652777969837189,0.2782638967037201,0.1490085870027542,0.19246743619441986,0.18230542540550232
2024-09-17,0.4111458659172058,0.4317014217376709,0.4339931607246399,0.3586571514606476,0.3516963720321655,0.46512725949287415
2024-09-18,0.6659722924232483,0.17649304866790771,0.45321518182754517,0.13489514589309692,0.10315553098917007,0.16951343417167664
2024-09-19,0.6171526312828064,0.13652777671813965,0.4227546155452728,0.14257100224494934,0.13760030269622803,0.14170517027378082
2024-09-20,0.7667707800865173,0.17586806416511536,0.46970346570014954,0.1633036732673645,0.15081292390823364,0.19522735476493835
2024-09-21,0.8878125548362732,0.26104167103767395,0.5189874172210693,0.19893039762973785,0.25369441509246826,0.25483471155166626
2024-09-22,0.5907290577888489,0.25458332896232605,0.4353841245174408,0.26633208990097046,0.21488386392593384,0.26025885343551636
2024-09-23,0.7934721112251282,0.1392708271741867,0.5580741763114929,0.16454042494297028,0.22781798243522644,0.2190956324338913
2024-09-24,0.7606945633888245,0.06993057578802109,0.5284326672554016,0.07196594774723053,0.09255224466323853,0.08766918629407883
2024-11-20,0.7791667580604553,0.09854164719581604,0.5189217329025269,0.05713893473148346,0.12912321090698242,0.10267665237188339
2024-11-21,0.8096527457237244,0.14069443941116333,0.5383912324905396,0.06549028307199478,0.13319022953510284,0.16860651969909668
2024-11-22,0.90541672706604,0.1093749850988388,0.5306655168533325,0.07742788642644882,0.06345290690660477,0.062186598777770996
2024-11-23,0.769270658493042,0.27579861879348755,0.6044299602508545,0.2444034367799759,0.29512086510658264,0.26858505606651306
2024-11-24,0.8445484638214111,0.1892360895872116,0.5709406137466431,0.06045624986290932,0.1498052030801773,0.032489288598299026
