H,data,variavel,piso_MAE,dl_MAE_s42,dl_MAE_s7,dl_MAE_s123,dl_MAE_media,dl_MAE_dp
288,2024-09-20,ph,0.0614,0.0849,0.056,0.0591,0.0667,0.0158
288,2024-09-20,od,0.1759,0.2218,0.1433,0.1148,0.16,0.0554
288,2024-09-21,ph,0.0645,0.0511,0.0507,0.0562,0.0527,0.0031
288,2024-09-21,od,0.261,0.2209,0.0973,0.1448,0.1543,0.0624
288,2024-09-22,ph,0.0927,0.0626,0.0698,0.0659,0.0661,0.0036
288,2024-09-22,od,0.2546,0.1175,0.1118,0.1087,0.1127,0.0044
288,2024-09-23,ph,0.0647,0.0765,0.072,0.0806,0.0764,0.0043
288,2024-09-23,od,0.1393,0.1692,0.0922,0.128,0.1298,0.0385
288,2024-09-24,ph,0.053,0.0519,0.0421,0.0481,0.0474,0.005
288,2024-09-24,od,0.0699,0.2239,0.0977,0.1271,0.1496,0.066
288,2024-11-20,ph,0.0156,0.0159,0.0187,0.0195,0.018,0.0019
288,2024-11-20,od,0.0985,0.1481,0.1528,0.1339,0.1449,0.0098
288,2024-12-13,ph,0.0275,0.0434,0.0531,0.0365,0.0443,0.0083
288,2024-12-13,od,0.112,0.1178,0.144,0.1036,0.1218,0.0205
288,2024-12-14,ph,0.0193,0.0539,0.0395,0.0408,0.0447,0.008
288,2024-12-14,od,0.102,0.1506,0.1153,0.2007,0.1555,0.0429
288,2024-12-15,ph,0.0425,0.0384,0.0342,0.048,0.0402,0.0071
288,2024-12-15,od,0.1886,0.2299,0.242,0.1609,0.211,0.0437
288,2024-12-16,ph,0.0311,0.0309,0.0276,0.0256,0.028,0.0026
288,2024-12-16,od,0.2807,0.3099,0.349,0.4628,0.3739,0.0794
288,2024-12-17,ph,0.0249,0.0262,0.0246,0.0319,0.0276,0.0039
288,2024-12-17,od,0.0746,0.3946,0.2855,0.2938,0.3247,0.0607
288,2024-12-18,ph,0.0192,0.0191,0.0187,0.0207,0.0195,0.001
288,2024-12-18,od,0.1753,0.2168,0.1726,0.0951,0.1615,0.0616
288,2024-12-19,ph,0.0242,0.0306,0.0306,0.0261,0.0291,0.0026
288,2024-12-19,od,0.0671,0.1691,0.1693,0.1073,0.1486,0.0357
288,2024-12-20,ph,0.0343,0.0355,0.0371,0.0349,0.0358,0.0011
288,2024-12-20,od,0.1935,0.1696,0.1337,0.0989,0.1341,0.0353
288,2024-12-21,ph,0.0768,0.076,0.0862,0.0738,0.0787,0.0066
288,2024-12-21,od,0.8099,0.5007,0.5774,0.5772,0.5518,0.0442
288,2024-12-22,ph,0.0811,0.0323,0.0381,0.0331,0.0345,0.0031
288,2024-12-22,od,0.5506,0.1796,0.1912,0.2225,0.1978,0.0222
