H,data,variavel,piso_MAE,dl_MAE_s42,dl_MAE_s7,dl_MAE_s123,dl_MAE_media,dl_MAE_dp
12,2024-07-23,od,0.4,0.0534,0.0246,0.0426,0.0402,0.0145
12,2024-07-24,ph,0.03,0.014,0.0114,0.008,0.0111,0.003
12,2024-07-24,od,0.1958,0.0247,0.0277,0.0297,0.0274,0.0025
12,2024-07-25,ph,0.0525,0.0181,0.016,0.0168,0.017,0.001
12,2024-07-25,od,0.3367,0.0808,0.1036,0.1677,0.1174,0.0451
12,2024-07-26,ph,0.0083,0.0386,0.0342,0.0332,0.0353,0.0029
12,2024-07-26,od,0.2517,0.0873,0.0931,0.1097,0.0967,0.0116
12,2024-07-27,ph,0.0533,0.0147,0.0104,0.0212,0.0154,0.0054
12,2024-07-27,od,0.3733,0.0266,0.0619,0.0493,0.046,0.0179
12,2024-07-28,ph,0.0333,0.0122,0.0142,0.0179,0.0148,0.0029
12,2024-07-28,od,0.06,0.0468,0.0647,0.0596,0.057,0.0092
12,2024-07-29,ph,0.0258,0.013,0.0129,0.0065,0.0108,0.0038
12,2024-07-29,od,0.1508,0.0873,0.095,0.1099,0.0974,0.0115
12,2024-09-15,ph,0.0886,0.0395,0.0442,0.0559,0.0465,0.0085
12,2024-09-15,od,0.3583,0.2115,0.1118,0.1509,0.1581,0.0502
12,2024-09-16,ph,0.0449,0.0358,0.0254,0.021,0.0274,0.0076
12,2024-09-16,od,0.1883,0.1685,0.0598,0.1054,0.1112,0.0546
12,2024-09-17,ph,0.2013,0.069,0.086,0.0945,0.0831,0.013
12,2024-09-17,od,0.7975,0.0346,0.0677,0.0562,0.0528,0.0168
12,2024-09-18,ph,0.0849,0.07,0.0643,0.0641,0.0661,0.0033
12,2024-09-18,od,0.1867,0.0499,0.0851,0.0224,0.0525,0.0315
12,2024-09-19,ph,0.0818,0.0334,0.0382,0.0403,0.0373,0.0035
12,2024-09-19,od,0.1133,0.0374,0.1015,0.0364,0.0585,0.0373
12,2024-09-20,ph,0.0693,0.0308,0.0304,0.0391,0.0334,0.0049
12,2024-09-20,od,0.1742,0.0798,0.0504,0.0335,0.0546,0.0234
12,2024-09-21,ph,0.0604,0.0718,0.0769,0.075,0.0745,0.0026
12,2024-09-21,od,0.2533,0.0454,0.1545,0.0805,0.0935,0.0557
12,2024-09-22,ph,0.0734,0.0662,0.0657,0.0687,0.0669,0.0016
12,2024-09-22,od,0.2325,0.0754,0.0432,0.0316,0.0501,0.0227
12,2024-09-23,ph,0.0942,0.0549,0.0631,0.0451,0.0544,0.009
12,2024-09-23,od,0.0192,0.0372,0.0725,0.0439,0.0512,0.0187
12,2024-09-24,ph,0.076,0.027,0.0275,0.023,0.0258,0.0025
12,2024-09-24,od,0.1083,0.115,0.0628,0.0459,0.0746,0.036
12,2024-11-20,ph,0.0179,0.0123,0.0093,0.0145,0.012,0.0026
12,2024-11-20,od,0.1117,0.0554,0.0908,0.0764,0.0742,0.0178
12,2024-12-13,ph,0.0108,0.0134,0.0122,0.0177,0.0144,0.0029
12,2024-12-13,od,0.01,0.1968,0.1379,0.0662,0.1336,0.0654
12,2024-12-14,ph,0.045,0.0153,0.0148,0.0173,0.0158,0.0013
12,2024-12-14,od,0.4175,0.059,0.0462,0.1294,0.0782,0.0448
12,2024-12-15,ph,0.0758,0.0115,0.0193,0.0124,0.0144,0.0043
12,2024-12-15,od,0.3708,0.1087,0.1345,0.112,0.1184,0.014
12,2024-12-16,ph,0.0233,0.0176,0.0181,0.011,0.0156,0.004
12,2024-12-16,od,0.0825,0.0764,0.0565,0.0489,0.0606,0.0142
12,2024-12-17,ph,0.035,0.0216,0.0244,0.019,0.0216,0.0027
12,2024-12-17,od,0.1758,0.0349,0.0372,0.0559,0.0427,0.0115
