,fatia,persistencia,sazonal_naive_288,media_movel_288,lstnet_s42,lstnet_s7,lstnet_s123,lstnet_s2024,lstnet_s999,lstnet_media,lstnet_dp
2024-04-19,2024-04-19→2024-04-28,0.24166666666666675,0.3019097222222222,0.31163821373456807,0.2750547649131881,0.28616910818550323,0.3495293756657177,0.3212415003114277,0.3109399735265308,0.3085869445204735,0.029448784571733774
2024-04-20,2024-04-19→2024-04-28,0.15826388888888893,0.24743055555555557,0.24743055555555518,0.0935954769452413,0.12593961007065246,0.17420738259951277,0.12745351331101526,0.09762681593497596,0.12376455977227954,0.032234193057684254
2024-04-21,2024-04-19→2024-04-28,0.19673611111111122,0.052500000000000026,0.10028260030864203,0.051013709935877075,0.05522071080075373,0.09534021308024727,0.051001961131890663,0.053692195879088564,0.06125375816557146,0.01914039722377108
2024-04-22,2024-04-19→2024-04-28,0.19499999999999992,0.04034722222222223,0.1041030092592592,0.056427149408393405,0.0406791114475992,0.06637121422423259,0.046961026522848365,0.06514682779709499,0.05511706588003371,0.011224346351864528
2024-04-23,2024-04-19→2024-04-28,0.24197916666666647,0.02871527777777777,0.1287770061728395,0.0815009456541803,0.030331262846787763,0.0626427686876721,0.03145390248960919,0.0424442975057496,0.04967463543679979,0.022020021917287958
2024-04-24,2024-04-19→2024-04-28,0.23666666666666666,0.04211805555555554,0.1204817708333333,0.07961203118165333,0.04992476026217142,0.10720351017183728,0.04706493728690678,0.056394565767712054,0.06803996093405618,0.025354603820987174
2024-04-25,2024-04-19→2024-04-28,0.3708680555555558,0.17795138888888895,0.1917303240740743,0.24766868995295635,0.1931124219960637,0.09684760269191532,0.17087553256087837,0.16359411987993455,0.17441967341634965,0.05445644354273959
2024-04-26,2024-04-19→2024-04-28,0.28322916666666687,0.2023611111111111,0.20442322530864188,0.22364196171363193,0.2042443428436915,0.16551983263757494,0.08234397725926507,0.1599368675549825,0.1671373964018292,0.05434629571876835
2024-04-27,2024-04-19→2024-04-28,0.14006944444444447,0.04954861111111114,0.07717447916666662,0.1155855693750911,0.12629691229926213,0.04621635423766243,0.02551779011885326,0.06589850041601392,0.07590302528937656,0.043687266543991805
2024-04-28,2024-04-19→2024-04-28,0.18194444444444438,0.04243055555555556,0.10397135416666671,0.14557178858253692,0.14142903563049106,0.029645122620794526,0.052395757072501735,0.09018759343359208,0.09184585946798327,0.051896432698144916
2024-07-20,2024-07-20→2024-07-29,0.2806944444444441,0.17225694444444445,0.18596281828703687,0.21460324055618715,0.1987190977732341,0.11203357093864026,0.24954317702187437,0.25632982644769886,0.20624578254752696,0.05784789262790247
2024-07-21,2024-07-20→2024-07-29,0.0598263888888891,0.21093749999999992,0.21093749999999967,0.04467936270766784,0.04694418801201713,0.03943169772624968,0.06070061405499776,0.0651006163491143,0.05137129577000934,0.010982550658712412
2024-07-22,2024-07-20→2024-07-29,0.11963541666666681,0.1255208333333333,0.08694733796296325,0.0676146262663382,0.08034157090716887,0.1074369181527032,0.08938813977771333,0.10415531396865842,0.08978731381451639,0.01657526345051918
2024-07-23,2024-07-20→2024-07-29,0.3379166666666664,0.19720486111111113,0.16976453993055576,0.2861898534827762,0.2638279025422202,0.1894663663042916,0.32250078949663374,0.32118322882387373,0.27663362812995906,0.054639507224238805
2024-07-24,2024-07-20→2024-07-29,0.13944444444444434,0.12319444444444445,0.1370418595679009,0.09605187151167127,0.11802105797661674,0.10814459813965692,0.13215653247303433,0.1369391380416022,0.11826263962851628,0.016864186883407867
2024-07-25,2024-07-20→2024-07-29,0.23395833333333346,0.06270833333333331,0.14954861111111117,0.09217968530125094,0.10122727930545812,0.0927465989192327,0.12798590282599134,0.12468094560835101,0.10776408239205681,0.017365413325591546
2024-07-26,2024-07-20→2024-07-29,0.43454861111111076,0.11836805555555562,0.11390335648148148,0.13374497691790255,0.1075930778185526,0.0902674345837699,0.15285270008775917,0.16831176512771176,0.1305539909071392,0.031950252296312626
2024-07-27,2024-07-20→2024-07-29,0.24124999999999996,0.09885416666666662,0.1171971450617284,0.09589827921655443,0.07048572156164383,0.0614570870002111,0.07388619270589619,0.07723667369948493,0.07579279083675809,0.01268491196189451
2024-07-28,2024-07-20→2024-07-29,0.11409722222222264,0.1377777777777778,0.060297067901234555,0.15814288006888497,0.11365745219919418,0.08777797089682687,0.0811005881097582,0.1111043528053496,0.11035664881600275,0.030251826582082017
2024-07-29,2024-07-20→2024-07-29,0.10399305555555577,0.08385416666666659,0.06918692129629642,0.09525809168815609,0.07707566718260443,0.09215056558450055,0.09327540907594883,0.07272065970632756,0.08609607864750748,0.010397256071630242
2024-09-15,2024-09-15→2024-09-24,0.846666666666667,0.25031250000000005,0.38111906828703673,0.2345366503794988,0.2562873318460252,0.2327559687031641,0.26735479189289946,0.22403854913181734,0.24299465839068096,0.018068024353154816
2024-09-16,2024-09-15→2024-09-24,0.6300694444444441,0.08652777777777773,0.2782638888888889,0.30168580757247077,0.34295523617002693,0.4295029538869858,0.3498639347155888,0.2972340036763085,0.3442483872042761,0.053205904740767224
