H,data,variavel,piso_MAE,cd_MAE_s42,cd_MAE_s7,cd_MAE_s123,cd_MAE_media,cd_MAE_dp
12,2024-07-23,od,0.4,0.0041,0.0293,0.0093,0.0143,0.0133
12,2024-07-24,ph,0.03,0.0081,0.0079,0.0091,0.0084,0.0007
12,2024-07-24,od,0.1958,0.0255,0.01,0.0388,0.0248,0.0144
12,2024-07-25,ph,0.0525,0.0081,0.0065,0.0065,0.007,0.0009
12,2024-07-25,od,0.3367,0.0427,0.0257,0.0263,0.0316,0.0097
12,2024-07-26,ph,0.0083,0.0171,0.0206,0.0198,0.0192,0.0018
12,2024-07-26,od,0.2517,0.0126,0.0351,0.0224,0.0234,0.0113
12,2024-07-27,ph,0.0533,0.0107,0.0106,0.0106,0.0106,0.0001
12,2024-07-27,od,0.3733,0.0172,0.0276,0.019,0.0213,0.0056
12,2024-07-28,ph,0.0333,0.0082,0.0112,0.0103,0.0099,0.0015
12,2024-07-28,od,0.06,0.0117,0.0069,0.0058,0.0082,0.0031
12,2024-07-29,ph,0.0258,0.0086,0.0116,0.012,0.0107,0.0019
12,2024-07-29,od,0.1508,0.0401,0.0518,0.0422,0.0447,0.0063
12,2024-09-15,ph,0.0886,0.0241,0.0284,0.0209,0.0245,0.0038
12,2024-09-15,od,0.3583,0.0375,0.0172,0.0203,0.025,0.0109
12,2024-09-16,ph,0.0449,0.036,0.0329,0.04,0.0363,0.0035
12,2024-09-16,od,0.1883,0.0775,0.0172,0.0431,0.0459,0.0303
12,2024-09-17,ph,0.2013,0.0597,0.0532,0.0566,0.0565,0.0033
12,2024-09-17,od,0.7975,0.0404,0.0684,0.0156,0.0415,0.0264
12,2024-09-18,ph,0.0849,0.06,0.0578,0.0604,0.0594,0.0014
12,2024-09-18,od,0.1867,0.04,0.0224,0.0231,0.0285,0.0099
12,2024-09-19,ph,0.0818,0.0315,0.0363,0.0316,0.0332,0.0028
12,2024-09-19,od,0.1133,0.081,0.1169,0.0281,0.0753,0.0447
12,2024-09-20,ph,0.0693,0.0388,0.0376,0.0341,0.0368,0.0024
12,2024-09-20,od,0.1742,0.0379,0.0549,0.0574,0.0501,0.0106
12,2024-09-21,ph,0.0604,0.0714,0.0714,0.0729,0.0719,0.0009
12,2024-09-21,od,0.2533,0.0329,0.0333,0.0073,0.0245,0.0149
12,2024-09-22,ph,0.0734,0.0576,0.0606,0.0578,0.0586,0.0017
12,2024-09-22,od,0.2325,0.0647,0.0472,0.0105,0.0408,0.0277
12,2024-09-23,ph,0.0942,0.0484,0.0483,0.0499,0.0488,0.0009
12,2024-09-23,od,0.0192,0.0308,0.063,0.0037,0.0325,0.0297
12,2024-09-24,ph,0.076,0.0236,0.0307,0.0218,0.0254,0.0047
12,2024-09-24,od,0.1083,0.0234,0.0159,0.0432,0.0275,0.0141
12,2024-11-20,ph,0.0179,0.0042,0.0071,0.0037,0.005,0.0018
12,2024-11-20,od,0.1117,0.0418,0.0702,0.0238,0.0453,0.0234
12,2024-12-13,ph,0.0108,0.0081,0.0122,0.0073,0.0092,0.0026
12,2024-12-13,od,0.01,0.0392,0.0661,0.0395,0.0483,0.0155
12,2024-12-14,ph,0.045,0.0092,0.0089,0.0059,0.008,0.0018
12,2024-12-14,od,0.4175,0.0596,0.056,0.0083,0.0413,0.0286
12,2024-12-15,ph,0.0758,0.0059,0.0092,0.0051,0.0067,0.0022
12,2024-12-15,od,0.3708,0.0201,0.0308,0.0601,0.037,0.0207
12,2024-12-16,ph,0.0233,0.0084,0.0085,0.0118,0.0096,0.0019
12,2024-12-16,od,0.0825,0.0086,0.0234,0.0643,0.0321,0.0288
12,2024-12-17,ph,0.035,0.0139,0.0117,0.0123,0.0126,0.0011
12,2024-12-17,od,0.1758,0.0277,0.008,0.0959,0.0439,0.0461
12,2024-12-18,ph,0.0117,0.0109,0.01,0.0121,0.011,0.001
12,2024-12-18,od,0.1383,0.0102,0.0075,0.063,0.0269,0.0313
12,2024-12-19,ph,0.0167,0.0183,0.0202,0.0215,0.02,0.0016
12,2024-12-19,od,0.0333,0.0149,0.0387,0.087,0.0469,0.0367
12,2024-12-20,ph,0.0583,0.0107,0.0108,0.0134,0.0116,0.0016
12,2024-12-20,od,0.5475,0.1006,0.1118,0.0735,0.0953,0.0197
12,2024-12-21,ph,0.1217,0.0357,0.0427,0.0423,0.0402,0.004
12,2024-12-21,od,1.1817,0.0577,0.0518,0.0518,0.0538,0.0034
12,2024-12-22,ph,0.0358,0.032,0.0315,0.0309,0.0315,0.0006
12,2024-12-22,od,0.4825,0.0238,0.0361,0.025,0.0283,0.0068
72,2022-07-20,ph,0.0296,0.0203,0.0199,0.0212,0.0205,0.0006
72,2022-07-20,od,0.1249,0.0399,0.0683,0.1038,0.0707,0.032
72,2022-07-21,ph,0.0264,0.0206,0.0269,0.0187,0.0221,0.0043
72,2022-07-21,od,0.1108,0.0584,0.1163,0.1353,0.1033,0.0401
72,2022-07-22,ph,0.0196,0.0157,0.0163,0.0211,0.0177,0.0029
72,2022-07-22,od,0.1958,0.0508,0.0255,0.027,0.0344,0.0142
72,2022-07-23,ph,0.0358,0.0204,0.0214,0.0216,0.0211,0.0006
72,2022-07-23,od,0.166,0.0801,0.0861,0.1041,0.0901,0.0125
72,2022-07-24,ph,0.0279,0.0249,0.0237,0.0347,0.0278,0.006
72,2022-07-24,od,0.0122,0.1077,0.1511,0.1394,0.1327,0.0224
72,2022-07-25,ph,0.0289,0.0188,0.0185,0.0227,0.02,0.0023
72,2022-07-25,od,0.1643,0.0145,0.0184,0.0259,0.0196,0.0058
72,2022-07-26,ph,0.0237,0.0266,0.027,0.036,0.0299,0.0053
72,2022-07-26,od,0.0931,0.036,0.0294,0.0615,0.0423,0.017
72,2022-07-27,ph,0.0297,0.0212,0.0225,0.0216,0.0218,0.0007
72,2022-07-27,od,0.2681,0.0322,0.0612,0.0477,0.047,0.0145
72,2022-07-28,ph,0.436,0.0881,0.0995,0.0368,0.0748,0.0334
72,2022-07-28,od,0.1758,0.0847,0.0861,0.1191,0.0967,0.0195
72,2022-07-29,ph,0.0082,0.0274,0.0278,0.0563,0.0372,0.0165
72,2022-07-29,od,0.1185,0.0058,0.0186,0.0304,0.0183,0.0123
72,2023-01-18,ph,0.0486,0.0203,0.0147,0.0111,0.0154,0.0046
72,2023-01-18,od,0.0438,0.0431,0.1358,0.068,0.0823,0.048
72,2023-01-19,ph,0.0478,0.0144,0.0127,0.0192,0.0154,0.0034
72,2023-01-19,od,0.0149,0.0353,0.0663,0.0293,0.0436,0.0199
72,2023-01-20,ph,0.0375,0.0088,0.0044,0.0121,0.0084,0.0039
72,2023-01-20,od,0.0185,0.0294,0.0448,0.0304,0.0349,0.0086
72,2023-01-21,ph,0.0419,0.0272,0.0177,0.0178,0.0209,0.0055
72,2023-01-21,od,0.0162,0.2264,0.2241,0.1516,0.2007,0.0425
72,2023-01-22,ph,0.0146,0.0376,0.0197,0.0239,0.0271,0.0094
72,2023-01-22,od,0.0164,0.1672,0.19,0.1156,0.1576,0.0381
72,2023-01-23,ph,0.0236,0.0371,0.0181,0.0243,0.0265,0.0097
72,2023-01-23,od,0.0282,0.0173,0.0268,0.0235,0.0225,0.0048
72,2023-01-24,ph,0.0157,0.0146,0.0066,0.0115,0.0109,0.0041
72,2023-01-24,od,0.0417,0.0244,0.0155,0.0496,0.0298,0.0177
72,2023-01-25,ph,0.0131,0.0095,0.0114,0.0099,0.0102,0.001
72,2023-01-25,od,0.0611,0.1585,0.1596,0.099,0.139,0.0347
72,2023-01-26,ph,0.0235,0.0058,0.0181,0.0116,0.0118,0.0062
72,2023-01-26,od,0.0108,0.1601,0.1295,0.0695,0.1197,0.0461
72,2023-01-27,ph,0.0301,0.0135,0.0057,0.0133,0.0108,0.0044
72,2023-01-27,od,0.0211,0.1887,0.1893,0.0894,0.1558,0.0575
72,2024-04-19,ph,0.0346,0.0097,0.0109,0.0107,0.0104,0.0006
72,2024-04-19,od,0.5783,0.124,0.1556,0.1815,0.1537,0.0288
72,2024-04-20,ph,0.0249,0.0182,0.0188,0.0218,0.0196,0.0019
72,2024-04-20,od,0.079,0.0345,0.0684,0.0754,0.0594,0.0219
72,2024-04-21,ph,0.0181,0.0176,0.0161,0.0136,0.0158,0.0021
72,2024-04-21,od,0.0781,0.1065,0.1094,0.0986,0.1048,0.0056
72,2024-04-22,ph,0.0197,0.0108,0.0128,0.0164,0.0133,0.0029
72,2024-04-22,od,0.0829,0.0202,0.0404,0.0388,0.0331,0.0113
72,2024-04-23,ph,0.0275,0.0127,0.013,0.0126,0.0127,0.0002
72,2024-04-23,od,0.0325,0.0323,0.0597,0.0405,0.0442,0.0141
72,2024-04-24,ph,0.0179,0.0137,0.0138,0.0133,0.0136,0.0003
72,2024-04-24,od,0.0167,0.0292,0.0452,0.022,0.0321,0.0119
72,2024-04-25,ph,0.046,0.0184,0.0201,0.0222,0.0203,0.0019
72,2024-04-25,od,0.2807,0.0815,0.0825,0.075,0.0797,0.0041
72,2024-04-26,ph,0.0269,0.0263,0.0225,0.0272,0.0253,0.0025
72,2024-04-26,od,0.2318,0.1027,0.1558,0.1046,0.121,0.0301
72,2024-04-27,ph,0.024,0.0164,0.0146,0.0156,0.0155,0.0009
72,2024-04-27,od,0.1057,0.0925,0.0703,0.0472,0.07,0.0227
72,2024-04-28,ph,0.0199,0.0133,0.0114,0.0112,0.012,0.0012
72,2024-04-28,od,0.0211,0.1012,0.0912,0.0429,0.0784,0.0312
72,2024-07-20,ph,0.0385,0.0246,0.0241,0.0244,0.0244,0.0002
72,2024-07-20,od,0.4079,0.1487,0.1782,0.1818,0.1696,0.0182
72,2024-07-21,ph,0.0386,0.0201,0.0177,0.0223,0.0201,0.0023
72,2024-07-21,od,0.1736,0.1405,0.1429,0.1961,0.1598,0.0315
72,2024-07-22,ph,0.1033,0.0477,0.0535,0.0616,0.0543,0.007
72,2024-07-22,od,0.2164,0.1724,0.1545,0.1536,0.1602,0.0106
72,2024-07-23,ph,0.0376,0.0128,0.0119,0.0118,0.0122,0.0006
