H,data,variavel,piso_MAE,cd_MAE_s42,cd_MAE_s7,cd_MAE_s123,cd_MAE_media,cd_MAE_dp
288,2024-09-20,ph,0.0614,0.0393,0.0371,0.0329,0.0364,0.0033
288,2024-09-20,od,0.1759,0.1181,0.128,0.1247,0.1236,0.0051
288,2024-09-21,ph,0.0645,0.0528,0.066,0.0556,0.0581,0.0069
288,2024-09-21,od,0.261,0.1965,0.177,0.0988,0.1574,0.0517
288,2024-09-22,ph,0.0927,0.061,0.0755,0.0698,0.0688,0.0073
288,2024-09-22,od,0.2546,0.1245,0.1979,0.1428,0.1551,0.0382
288,2024-09-23,ph,0.0647,0.0642,0.0643,0.0697,0.0661,0.0031
288,2024-09-23,od,0.1393,0.1151,0.1339,0.1232,0.1241,0.0094
288,2024-09-24,ph,0.053,0.0395,0.0376,0.0368,0.038,0.0014
288,2024-09-24,od,0.0699,0.3119,0.2488,0.1065,0.2224,0.1052
288,2024-11-20,ph,0.0156,0.0246,0.0197,0.021,0.0218,0.0026
288,2024-11-20,od,0.0985,0.0894,0.2298,0.1038,0.141,0.0773
288,2024-12-13,ph,0.0275,0.0294,0.0304,0.0315,0.0304,0.001
288,2024-12-13,od,0.112,0.4721,0.1582,0.1724,0.2676,0.1773
288,2024-12-14,ph,0.0193,0.0327,0.0128,0.0189,0.0215,0.0102
288,2024-12-14,od,0.102,0.1163,0.0892,0.137,0.1142,0.024
288,2024-12-15,ph,0.0425,0.0853,0.0724,0.0697,0.0758,0.0084
288,2024-12-15,od,0.1886,0.2658,0.3316,0.2665,0.2879,0.0378
288,2024-12-16,ph,0.0311,0.0258,0.0188,0.0255,0.0234,0.004
288,2024-12-16,od,0.2807,0.2456,0.3318,0.3091,0.2955,0.0447
288,2024-12-17,ph,0.0249,0.0587,0.0619,0.0664,0.0623,0.0039
288,2024-12-17,od,0.0746,0.134,0.4208,0.37,0.3083,0.153
288,2024-12-18,ph,0.0192,0.0514,0.0356,0.0489,0.0453,0.0085
288,2024-12-18,od,0.1753,0.193,0.2683,0.1056,0.189,0.0814
288,2024-12-19,ph,0.0242,0.0317,0.0223,0.0196,0.0245,0.0064
288,2024-12-19,od,0.0671,0.367,0.2232,0.1551,0.2484,0.1081
288,2024-12-20,ph,0.0343,0.0538,0.0306,0.0371,0.0405,0.012
288,2024-12-20,od,0.1935,0.4018,0.1851,0.1859,0.2576,0.1249
288,2024-12-21,ph,0.0768,0.0312,0.0504,0.0396,0.0404,0.0096
288,2024-12-21,od,0.8099,0.2562,0.4857,0.3841,0.3754,0.115
288,2024-12-22,ph,0.0811,0.0322,0.0286,0.0271,0.0293,0.0026
288,2024-12-22,od,0.5506,0.3113,0.2241,0.2335,0.2563,0.0479
