H,fatia,nome,qualitativa,variavel,modelo,seed,MAE,RMSE
72,2024-09-15->2024-09-24,set24,False,od,sazonal-naive-288,0,0.1973,0.2738
72,2024-09-15->2024-09-24,set24,False,od,cd,42,0.1007,0.1358
72,2024-09-15->2024-09-24,set24,False,od,cd,7,0.1259,0.1702
72,2024-09-15->2024-09-24,set24,False,od,cd,123,0.1038,0.1463
72,2024-11-20->2024-11-24,nov24,True,ph,sazonal-naive-288,0,0.0175,0.0249
72,2024-11-20->2024-11-24,nov24,True,ph,cd,42,0.0139,0.019
72,2024-11-20->2024-11-24,nov24,True,ph,cd,7,0.0151,0.0206
72,2024-11-20->2024-11-24,nov24,True,ph,cd,123,0.0139,0.0188
72,2024-11-20->2024-11-24,nov24,True,od,sazonal-naive-288,0,0.1046,0.1155
72,2024-11-20->2024-11-24,nov24,True,od,cd,42,0.0947,0.1306
72,2024-11-20->2024-11-24,nov24,True,od,cd,7,0.1004,0.1364
72,2024-11-20->2024-11-24,nov24,True,od,cd,123,0.084,0.1149
72,2024-12-13->2024-12-22,dez24,False,ph,sazonal-naive-288,0,0.0377,0.0519
72,2024-12-13->2024-12-22,dez24,False,ph,cd,42,0.0235,0.0313
72,2024-12-13->2024-12-22,dez24,False,ph,cd,7,0.0228,0.0303
72,2024-12-13->2024-12-22,dez24,False,ph,cd,123,0.024,0.0319
72,2024-12-13->2024-12-22,dez24,False,od,sazonal-naive-288,0,0.2536,0.3678
72,2024-12-13->2024-12-22,dez24,False,od,cd,42,0.147,0.1998
72,2024-12-13->2024-12-22,dez24,False,od,cd,7,0.1512,0.2006
72,2024-12-13->2024-12-22,dez24,False,od,cd,123,0.1435,0.2007
72,2023-01-18->2023-01-27,jan23aux,False,ph,sazonal-naive-288,0,0.0288,0.0341
72,2023-01-18->2023-01-27,jan23aux,False,ph,cd,42,0.0145,0.0185
72,2023-01-18->2023-01-27,jan23aux,False,ph,cd,7,0.013,0.017
72,2023-01-18->2023-01-27,jan23aux,False,ph,cd,123,0.0133,0.0172
72,2023-01-18->2023-01-27,jan23aux,False,od,sazonal-naive-288,0,0.0704,0.107
72,2023-01-18->2023-01-27,jan23aux,False,od,cd,42,0.0813,0.1129
72,2023-01-18->2023-01-27,jan23aux,False,od,cd,7,0.0811,0.1097
72,2023-01-18->2023-01-27,jan23aux,False,od,cd,123,0.0878,0.1186
72,2022-07-20->2022-07-29,jul22aux,False,ph,sazonal-naive-288,0,0.067,0.1411
72,2022-07-20->2022-07-29,jul22aux,False,ph,cd,42,0.0333,0.0622
72,2022-07-20->2022-07-29,jul22aux,False,ph,cd,7,0.0323,0.0615
72,2022-07-20->2022-07-29,jul22aux,False,ph,cd,123,0.0313,0.0609
72,2022-07-20->2022-07-29,jul22aux,False,od,sazonal-naive-288,0,0.1388,0.1732
72,2022-07-20->2022-07-29,jul22aux,False,od,cd,42,0.0606,0.0816
72,2022-07-20->2022-07-29,jul22aux,False,od,cd,7,0.067,0.0901
72,2022-07-20->2022-07-29,jul22aux,False,od,cd,123,0.0796,0.1046
288,2024-04-19->2024-04-28,abr24,False,ph,sazonal-naive-288,0,0.0282,0.0361
288,2024-04-19->2024-04-28,abr24,False,ph,cd,42,0.0252,0.0309
288,2024-04-19->2024-04-28,abr24,False,ph,cd,7,0.0219,0.0274
288,2024-04-19->2024-04-28,abr24,False,ph,cd,123,0.0247,0.0311
288,2024-04-19->2024-04-28,abr24,False,od,sazonal-naive-288,0,0.124,0.1822
288,2024-04-19->2024-04-28,abr24,False,od,cd,42,0.1153,0.1452
288,2024-04-19->2024-04-28,abr24,False,od,cd,7,0.1029,0.1305
288,2024-04-19->2024-04-28,abr24,False,od,cd,123,0.1226,0.156
288,2024-07-20->2024-07-29,jul24,False,ph,sazonal-naive-288,0,0.0391,0.0552
288,2024-07-20->2024-07-29,jul24,False,ph,cd,42,0.0346,0.0452
288,2024-07-20->2024-07-29,jul24,False,ph,cd,7,0.0354,0.047
288,2024-07-20->2024-07-29,jul24,False,ph,cd,123,0.0359,0.0471
288,2024-07-20->2024-07-29,jul24,False,od,sazonal-naive-288,0,0.1316,0.172
288,2024-07-20->2024-07-29,jul24,False,od,cd,42,0.1458,0.1982
288,2024-07-20->2024-07-29,jul24,False,od,cd,7,0.1562,0.2066
288,2024-07-20->2024-07-29,jul24,False,od,cd,123,0.153,0.197
288,2024-09-15->2024-09-24,set24,False,ph,sazonal-naive-288,0,0.0693,0.0919
288,2024-09-15->2024-09-24,set24,False,ph,cd,42,0.0522,0.0683
288,2024-09-15->2024-09-24,set24,False,ph,cd,7,0.0579,0.0764
288,2024-09-15->2024-09-24,set24,False,ph,cd,123,0.0558,0.0736
288,2024-09-15->2024-09-24,set24,False,od,sazonal-naive-288,0,0.1969,0.2737
288,2024-09-15->2024-09-24,set24,False,od,cd,42,0.1706,0.2246
288,2024-09-15->2024-09-24,set24,False,od,cd,7,0.1776,0.2369
288,2024-09-15->2024-09-24,set24,False,od,cd,123,0.1833,0.2501
288,2024-11-20->2024-11-24,nov24,True,ph,sazonal-naive-288,0,0.0176,0.0262
288,2024-11-20->2024-11-24,nov24,True,ph,cd,42,0.0235,0.0289
288,2024-11-20->2024-11-24,nov24,True,ph,cd,7,0.0242,0.0301
288,2024-11-20->2024-11-24,nov24,True,ph,cd,123,0.0227,0.0281
288,2024-11-20->2024-11-24,nov24,True,od,sazonal-naive-288,0,0.0911,0.1039
288,2024-11-20->2024-11-24,nov24,True,od,cd,42,0.1608,0.2046
288,2024-11-20->2024-11-24,nov24,True,od,cd,7,0.2203,0.2899
288,2024-11-20->2024-11-24,nov24,True,od,cd,123,0.1525,0.1862
288,2024-12-13->2024-12-22,dez24,False,ph,sazonal-naive-288,0,0.0354,0.0488
288,2024-12-13->2024-12-22,dez24,False,ph,cd,42,0.0399,0.0492
288,2024-12-13->2024-12-22,dez24,False,ph,cd,7,0.036,0.0451
288,2024-12-13->2024-12-22,dez24,False,ph,cd,123,0.0354,0.044
288,2024-12-13->2024-12-22,dez24,False,od,sazonal-naive-288,0,0.2499,0.3616
288,2024-12-13->2024-12-22,dez24,False,od,cd,42,0.2991,0.384
288,2024-12-13->2024-12-22,dez24,False,od,cd,7,0.2287,0.2973
288,2024-12-13->2024-12-22,dez24,False,od,cd,123,0.207,0.2611
288,2023-01-18->2023-01-27,jan23aux,False,ph,sazonal-naive-288,0,0.0294,0.0346
288,2023-01-18->2023-01-27,jan23aux,False,ph,cd,42,0.0261,0.0321
288,2023-01-18->2023-01-27,jan23aux,False,ph,cd,7,0.0253,0.0305
288,2023-01-18->2023-01-27,jan23aux,False,ph,cd,123,0.0243,0.0301
288,2023-01-18->2023-01-27,jan23aux,False,od,sazonal-naive-288,0,0.0717,0.1085
288,2023-01-18->2023-01-27,jan23aux,False,od,cd,42,0.1261,0.158
288,2023-01-18->2023-01-27,jan23aux,False,od,cd,7,0.1076,0.1422
288,2023-01-18->2023-01-27,jan23aux,False,od,cd,123,0.0994,0.1267
288,2022-07-20->2022-07-29,jul22aux,False,ph,sazonal-naive-288,0,0.0644,0.1348
288,2022-07-20->2022-07-29,jul22aux,False,ph,cd,42,0.0602,0.1175
288,2022-07-20->2022-07-29,jul22aux,False,ph,cd,7,0.0542,0.1126
288,2022-07-20->2022-07-29,jul22aux,False,ph,cd,123,0.0577,0.1187
288,2022-07-20->2022-07-29,jul22aux,False,od,sazonal-naive-288,0,0.1326,0.1649
288,2022-07-20->2022-07-29,jul22aux,False,od,cd,42,0.1032,0.137
288,2022-07-20->2022-07-29,jul22aux,False,od,cd,7,0.1043,0.1325
288,2022-07-20->2022-07-29,jul22aux,False,od,cd,123,0.1023,0.1296
