,MAE,RMSE,MAPE,sMAPE
sazonal_naive_288,0.1525,0.177,2.1668,2.1918
lstnet_ft,0.1097,0.1285,1.5586,1.5642
lgbm_A,0.1662,0.2037,2.3609,2.3829
gate-rule_ft,0.1525,0.177,2.1668,2.1918
gate-rule_lgbm,0.1525,0.177,2.1668,2.1918
gate-lr_ft,0.1097,0.1285,1.5586,1.5642
gate-lr_lgbm,0.1662,0.2037,2.3609,2.3829
oracle,0.1019,0.1216,1.4464,1.4511
