,sazonal,lstnet_ft,gate-rule_ft,gate-lr_ft,oracle,hind_mean7,amp_dia
2026-07-12,0.07621527777777783,0.08866097986698149,0.07621527777777783,0.08866097986698149,0.07621527777777783,0.11101686507936506,0.7700000000000005
2026-07-13,0.15947916666666664,0.16286595457130007,0.15947916666666664,0.16286595457130007,0.15947916666666664,0.11040178571428572,0.79
2026-07-14,0.2451736111111111,0.09792742676205106,0.2451736111111111,0.09792742676205106,0.09792742676205106,0.11166170634920633,1.17
2026-07-15,0.45437500000000003,0.19668418202135302,0.45437500000000003,0.19668418202135302,0.19668418202135302,0.13396825396825393,0.9699999999999998
2026-07-16,0.12187499999999998,0.2663734728760189,0.12187499999999998,0.2663734728760189,0.12187499999999998,0.18718253968253967,1.1100000000000003
2026-07-17,0.06468750000000004,0.22703477833006117,0.06468750000000004,0.22703477833006117,0.06468750000000004,0.18950892857142856,1.2500000000000009
2026-07-18,0.05916666666666669,0.13919371664524083,0.05916666666666669,0.13919371664524083,0.05916666666666669,0.18868551587301585,1.4200000000000008
2026-07-19,0.06197916666666662,0.08450221326616075,0.06197916666666662,0.08450221326616075,0.06197916666666662,0.16871031746031745,1.5699999999999994
2026-07-20,0.08798611111111113,0.10253710713651445,0.08798611111111113,0.10253710713651445,0.08798611111111113,0.16667658730158727,1.83
2026-07-21,0.2187500000000001,0.287281529572275,0.2187500000000001,0.287281529572275,0.17728521241082096,0.15646329365079364,1.8200000000000003
